Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,Period,Transport_Time
0,CO2_Budget,18,18,0,720,1,0
1,RE_PV_Openfield_Lim,18,18,0,720,1,0
2,RE_PV_Rooftop_Lim,18,18,0,720,1,0
3,RE_WIND_Onshore_Lim_0,18,18,0,720,1,0
4,RE_WIND_Onshore_Lim_1,18,18,0,720,1,0
5,RE_WIND_Onshore_Lim_2,18,18,0,720,1,0
6,RE_WIND_Onshore_Lim_3,18,18,0,720,1,0
7,RE_WIND_Onshore_Lim_4,18,18,0,720,1,0
8,RE_WIND_Onshore_Lim_5,18,18,0,720,1,0
9,RE_WIND_Onshore_Lim_6,18,18,0,720,1,0
10,RE_WIND_Onshore_Lim_7,18,18,0,720,1,0
11,RE_WIND_Onshore_Lim_8,18,18,0,720,1,0
12,RE_WIND_Onshore_Lim_9,18,18,0,720,1,0
13,RE_WIND_Offshore_Lim_0,18,18,0,720,1,0
14,RE_WIND_Offshore_Lim_1,18,18,0,720,1,0
15,RE_WIND_Offshore_Lim_2,18,18,0,720,1,0
16,RE_WIND_Offshore_Lim_3,18,18,0,720,1,0
17,RE_WIND_Offshore_Lim_4,18,18,0,720,1,0
18,RE_WIND_Offshore_Lim_5,18,18,0,720,1,0
19,RE_WIND_Offshore_Lim_6,18,18,0,720,1,0
20,RE_WIND_Offshore_Lim_7,18,18,0,720,1,0
21,RE_WIND_Offshore_Lim_8,18,18,0,720,1,0
22,RE_WIND_Offshore_Lim_9,18,18,0,720,1,0
23,HYDRO,18,18,0,720,1,0
24,PP_CO2,18,18,0,720,1,0
25,BESS,18,18,0,720,1,0
26,EL_to_HTH,18,18,0,720,1,0
27,EL_to_NH3,18,18,0,720,1,0
28,NH3_Storage,18,18,0,720,1,0
29,NH3_to_EL,18,18,0,720,1,0
30,NH3_to_HTH,18,18,0,720,1,0
31,FF_to_HTH,18,18,0,720,1,0
32,EL_Demand,18,18,0,720,1,0
33,HTH_Demand,18,18,0,720,1,0
34,RE_PV_Openfield_Lim,14,14,0,720,1,0
35,RE_PV_Rooftop_Lim,14,14,0,720,1,0
36,RE_WIND_Onshore_Lim_0,14,14,0,720,1,0
37,RE_WIND_Onshore_Lim_1,14,14,0,720,1,0
38,RE_WIND_Onshore_Lim_2,14,14,0,720,1,0
39,RE_WIND_Onshore_Lim_3,14,14,0,720,1,0
40,RE_WIND_Onshore_Lim_4,14,14,0,720,1,0
41,RE_WIND_Onshore_Lim_5,14,14,0,720,1,0
42,RE_WIND_Onshore_Lim_6,14,14,0,720,1,0
43,RE_WIND_Onshore_Lim_7,14,14,0,720,1,0
44,RE_WIND_Onshore_Lim_8,14,14,0,720,1,0
45,RE_WIND_Onshore_Lim_9,14,14,0,720,1,0
46,RE_WIND_Offshore_Lim_0,14,14,0,720,1,0
47,RE_WIND_Offshore_Lim_1,14,14,0,720,1,0
48,RE_WIND_Offshore_Lim_2,14,14,0,720,1,0
49,RE_WIND_Offshore_Lim_3,14,14,0,720,1,0
50,RE_WIND_Offshore_Lim_4,14,14,0,720,1,0
51,RE_WIND_Offshore_Lim_5,14,14,0,720,1,0
52,RE_WIND_Offshore_Lim_6,14,14,0,720,1,0
53,RE_WIND_Offshore_Lim_7,14,14,0,720,1,0
54,RE_WIND_Offshore_Lim_8,14,14,0,720,1,0
55,RE_WIND_Offshore_Lim_9,14,14,0,720,1,0
56,HYDRO,14,14,0,720,1,0
57,PP_CO2,14,14,0,720,1,0
58,BESS,14,14,0,720,1,0
59,EL_to_HTH,14,14,0,720,1,0
60,EL_to_NH3,14,14,0,720,1,0
61,NH3_Storage,14,14,0,720,1,0
62,NH3_to_EL,14,14,0,720,1,0
63,NH3_to_HTH,14,14,0,720,1,0
64,FF_to_HTH,14,14,0,720,1,0
65,EL_Demand,14,14,0,720,1,0
66,HTH_Demand,14,14,0,720,1,0
67,EL_Transport,18,14,0,720,1,0
68,NH3_Transport,18,14,0,720,96,108
