country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
ID,MY,,,0.0,6.1,343.2,RE_PV_Openfield_Lim_[ID]
ID,MY,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,MY,,,0.0,30.2,666.0,RE_WIND_Onshore_Lim_0_[ID]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[ID]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[ID]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[ID]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[ID]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[ID]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[ID]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[ID]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[ID]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[ID]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[ID]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[ID]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[ID]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[ID]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[ID]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[ID]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[ID]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[ID]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[ID]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[ID]
ID,MY,,,0.0,0.1,4.6,HYDRO_[ID]
ID,MY,,,0.0,0.0,0.0,PP_CO2_[ID]
ID,MY,,,0.0,1.9,107.5,BESS_[ID]
ID,MY,,,0.0,1.3,116.6,EL_to_HTH_[ID]
ID,MY,,,0.0,3.1,53.3,EL_to_NH3_[ID]
ID,MY,,,0.0,8.0,477.5,NH3_Storage_[ID]
ID,MY,,,0.0,0.0,0.0,NH3_to_EL_[ID]
ID,MY,,,0.0,0.3,22.7,NH3_to_HTH_[ID]
ID,MY,,,0.0,0.0,0.0,FF_to_HTH_[ID]
ID,MY,,,0.0,0.0,138.0,EL_Demand_[ID]
ID,MY,,,0.0,0.0,117.7,HTH_Demand_[ID]
ID,MY,,,0.0,0.4,21.7,RE_PV_Openfield_Lim_[MY]
ID,MY,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
ID,MY,,,0.0,6.2,100.3,RE_WIND_Onshore_Lim_0_[MY]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[MY]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[MY]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[MY]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[MY]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[MY]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[MY]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[MY]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[MY]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[MY]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[MY]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[MY]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[MY]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[MY]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[MY]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[MY]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[MY]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[MY]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[MY]
ID,MY,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[MY]
ID,MY,,,0.0,0.1,6.0,HYDRO_[MY]
ID,MY,,,0.0,0.0,0.0,PP_CO2_[MY]
ID,MY,,,0.0,0.0,0.3,BESS_[MY]
ID,MY,,,0.0,0.1,12.5,EL_to_HTH_[MY]
ID,MY,,,0.0,0.2,2.9,EL_to_NH3_[MY]
ID,MY,,,0.0,4.5,272.1,NH3_Storage_[MY]
ID,MY,,,0.0,0.4,4.7,NH3_to_EL_[MY]
ID,MY,,,0.0,0.0,2.5,NH3_to_HTH_[MY]
ID,MY,,,0.0,0.0,0.0,FF_to_HTH_[MY]
ID,MY,,,0.0,0.0,34.4,EL_Demand_[MY]
ID,MY,,,0.0,0.0,12.7,HTH_Demand_[MY]
ID,MY,,,0.0,1.7,35.7,EL_Transport_[ID-MY]
ID,MY,,,0.0,0.1,278.3,NH3_Transport_[ID-MY]
ID,MY,,,152.4,0.8,44.8,RE_PV_Openfield_Lim_[ID]
ID,MY,,,152.4,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,MY,,,152.4,18.0,396.6,RE_WIND_Onshore_Lim_0_[ID]
ID,MY,,,152.4,0.0,0.0,RE_WIND_Onshore_Lim_1_[ID]
ID,MY,,,152.4,0.0,0.0,RE_WIND_Onshore_Lim_2_[ID]
ID,MY,,,152.4,0.0,0.0,RE_WIND_Onshore_Lim_3_[ID]
ID,MY,,,152.4,0.0,0.0,RE_WIND_Onshore_Lim_4_[ID]
ID,MY,,,152.4,0.0,0.0,RE_WIND_Onshore_Lim_5_[ID]
ID,MY,,,152.4,0.0,0.0,RE_WIND_Onshore_Lim_6_[ID]
ID,MY,,,152.4,0.0,0.0,RE_WIND_Onshore_Lim_7_[ID]
ID,MY,,,152.4,0.0,0.0,RE_WIND_Onshore_Lim_8_[ID]
ID,MY,,,152.4,0.0,0.0,RE_WIND_Onshore_Lim_9_[ID]
ID,MY,,,152.4,0.0,0.0,RE_WIND_Offshore_Lim_0_[ID]
ID,MY,,,152.4,0.0,0.0,RE_WIND_Offshore_Lim_1_[ID]
ID,MY,,,152.4,0.0,0.0,RE_WIND_Offshore_Lim_2_[ID]
ID,MY,,,152.4,0.0,0.0,RE_WIND_Offshore_Lim_3_[ID]
ID,MY,,,152.4,0.0,0.0,RE_WIND_Offshore_Lim_4_[ID]
ID,MY,,,152.4,0.0,0.0,RE_WIND_Offshore_Lim_5_[ID]
ID,MY,,,152.4,0.0,0.0,RE_WIND_Offshore_Lim_6_[ID]
ID,MY,,,152.4,0.0,0.0,RE_WIND_Offshore_Lim_7_[ID]
ID,MY,,,152.4,0.0,0.0,RE_WIND_Offshore_Lim_8_[ID]
ID,MY,,,152.4,0.0,0.0,RE_WIND_Offshore_Lim_9_[ID]
ID,MY,,,152.4,0.1,4.6,HYDRO_[ID]
ID,MY,,,152.4,4.7,60.9,PP_CO2_[ID]
ID,MY,,,152.4,0.1,7.3,BESS_[ID]
ID,MY,,,152.4,1.3,115.6,EL_to_HTH_[ID]
ID,MY,,,152.4,0.0,0.0,EL_to_NH3_[ID]
ID,MY,,,152.4,0.0,0.0,NH3_Storage_[ID]
ID,MY,,,152.4,0.0,0.0,NH3_to_EL_[ID]
ID,MY,,,152.4,0.0,0.0,NH3_to_HTH_[ID]
ID,MY,,,152.4,9.3,117.7,FF_to_HTH_[ID]
ID,MY,,,152.4,0.0,138.0,EL_Demand_[ID]
ID,MY,,,152.4,0.0,117.7,HTH_Demand_[ID]
ID,MY,,,152.4,1.1,64.9,RE_PV_Openfield_Lim_[MY]
ID,MY,,,152.4,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
ID,MY,,,152.4,2.6,42.7,RE_WIND_Onshore_Lim_0_[MY]
ID,MY,,,152.4,0.0,0.0,RE_WIND_Onshore_Lim_1_[MY]
ID,MY,,,152.4,0.0,0.0,RE_WIND_Onshore_Lim_2_[MY]
ID,MY,,,152.4,0.0,0.0,RE_WIND_Onshore_Lim_3_[MY]
ID,MY,,,152.4,0.0,0.0,RE_WIND_Onshore_Lim_4_[MY]
ID,MY,,,152.4,0.0,0.0,RE_WIND_Onshore_Lim_5_[MY]
