Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,28,28,1855
1,RE_PV_Openfield_Lim,28,28,28
2,RE_PV_Rooftop_Lim,28,28,28
3,RE_WIND_Onshore_Lim_0,28,28,28
4,RE_WIND_Onshore_Lim_1,28,28,28
5,RE_WIND_Onshore_Lim_2,28,28,28
6,RE_WIND_Onshore_Lim_3,28,28,28
7,RE_WIND_Onshore_Lim_4,28,28,28
8,RE_WIND_Onshore_Lim_5,28,28,28
9,RE_WIND_Onshore_Lim_6,28,28,28
10,RE_WIND_Onshore_Lim_7,28,28,28
11,RE_WIND_Onshore_Lim_8,28,28,28
12,RE_WIND_Onshore_Lim_9,28,28,28
13,RE_WIND_Offshore_Lim_0,28,28,28
14,RE_WIND_Offshore_Lim_1,28,28,28
15,RE_WIND_Offshore_Lim_2,28,28,28
16,RE_WIND_Offshore_Lim_3,28,28,28
17,RE_WIND_Offshore_Lim_4,28,28,28
18,RE_WIND_Offshore_Lim_5,28,28,28
19,RE_WIND_Offshore_Lim_6,28,28,28
20,RE_WIND_Offshore_Lim_7,28,28,28
21,RE_WIND_Offshore_Lim_8,28,28,28
22,RE_WIND_Offshore_Lim_9,28,28,28
23,HYDRO,28,28,28
24,PP_CO2,28,28,28
25,BESS,28,28,28
26,EL_to_HTH,28,28,28
27,EL_to_NH3,28,28,28
28,NH3_Storage,28,28,28
29,NH3_to_EL,28,28,28
30,NH3_to_HTH,28,28,28
31,FF_to_HTH,28,28,28
32,EL_Demand,28,28,28
33,HTH_Demand,28,28,28
34,RE_PV_Openfield_Lim,30,30,30
35,RE_PV_Rooftop_Lim,30,30,30
36,RE_WIND_Onshore_Lim_0,30,30,30
37,RE_WIND_Onshore_Lim_1,30,30,30
38,RE_WIND_Onshore_Lim_2,30,30,30
39,RE_WIND_Onshore_Lim_3,30,30,30
40,RE_WIND_Onshore_Lim_4,30,30,30
41,RE_WIND_Onshore_Lim_5,30,30,30
42,RE_WIND_Onshore_Lim_6,30,30,30
43,RE_WIND_Onshore_Lim_7,30,30,30
44,RE_WIND_Onshore_Lim_8,30,30,30
45,RE_WIND_Onshore_Lim_9,30,30,30
46,RE_WIND_Offshore_Lim_0,30,30,30
47,RE_WIND_Offshore_Lim_1,30,30,30
48,RE_WIND_Offshore_Lim_2,30,30,30
49,RE_WIND_Offshore_Lim_3,30,30,30
50,RE_WIND_Offshore_Lim_4,30,30,30
51,RE_WIND_Offshore_Lim_5,30,30,30
52,RE_WIND_Offshore_Lim_6,30,30,30
53,RE_WIND_Offshore_Lim_7,30,30,30
54,RE_WIND_Offshore_Lim_8,30,30,30
55,RE_WIND_Offshore_Lim_9,30,30,30
56,HYDRO,30,30,30
57,PP_CO2,30,30,30
58,BESS,30,30,30
59,EL_to_HTH,30,30,30
60,EL_to_NH3,30,30,30
61,NH3_Storage,30,30,30
62,NH3_to_EL,30,30,30
63,NH3_to_HTH,30,30,30
64,FF_to_HTH,30,30,30
65,EL_Demand,30,30,30
66,HTH_Demand,30,30,30
67,RE_PV_Openfield_Lim,17,17,17
68,RE_PV_Rooftop_Lim,17,17,17
69,RE_WIND_Onshore_Lim_0,17,17,17
70,RE_WIND_Onshore_Lim_1,17,17,17
71,RE_WIND_Onshore_Lim_2,17,17,17
72,RE_WIND_Onshore_Lim_3,17,17,17
73,RE_WIND_Onshore_Lim_4,17,17,17
74,RE_WIND_Onshore_Lim_5,17,17,17
75,RE_WIND_Onshore_Lim_6,17,17,17
76,RE_WIND_Onshore_Lim_7,17,17,17
77,RE_WIND_Onshore_Lim_8,17,17,17
78,RE_WIND_Onshore_Lim_9,17,17,17
79,RE_WIND_Offshore_Lim_0,17,17,17
80,RE_WIND_Offshore_Lim_1,17,17,17
81,RE_WIND_Offshore_Lim_2,17,17,17
82,RE_WIND_Offshore_Lim_3,17,17,17
83,RE_WIND_Offshore_Lim_4,17,17,17
84,RE_WIND_Offshore_Lim_5,17,17,17
85,RE_WIND_Offshore_Lim_6,17,17,17
86,RE_WIND_Offshore_Lim_7,17,17,17
87,RE_WIND_Offshore_Lim_8,17,17,17
88,RE_WIND_Offshore_Lim_9,17,17,17
89,HYDRO,17,17,17
90,PP_CO2,17,17,17
91,BESS,17,17,17
92,EL_to_HTH,17,17,17
93,EL_to_NH3,17,17,17
94,NH3_Storage,17,17,17
95,NH3_to_EL,17,17,17
96,NH3_to_HTH,17,17,17
97,FF_to_HTH,17,17,17
98,EL_Demand,17,17,17
99,HTH_Demand,17,17,17
100,EL_Transport,28,30,0
101,NH3_Transport,28,30,0
102,EL_Transport,28,17,0
103,NH3_Transport,28,17,0
104,EL_Transport,30,17,0
105,NH3_Transport,30,17,0
