Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,28,28,1995
1,RE_PV_Openfield_Lim,28,28,28
2,RE_PV_Rooftop_Lim,28,28,28
3,RE_WIND_Onshore_Lim_0,28,28,28
4,RE_WIND_Onshore_Lim_1,28,28,28
5,RE_WIND_Onshore_Lim_2,28,28,28
6,RE_WIND_Onshore_Lim_3,28,28,28
7,RE_WIND_Onshore_Lim_4,28,28,28
8,RE_WIND_Onshore_Lim_5,28,28,28
9,RE_WIND_Onshore_Lim_6,28,28,28
10,RE_WIND_Onshore_Lim_7,28,28,28
11,RE_WIND_Onshore_Lim_8,28,28,28
12,RE_WIND_Onshore_Lim_9,28,28,28
13,RE_WIND_Offshore_Lim_0,28,28,28
14,RE_WIND_Offshore_Lim_1,28,28,28
15,RE_WIND_Offshore_Lim_2,28,28,28
16,RE_WIND_Offshore_Lim_3,28,28,28
17,RE_WIND_Offshore_Lim_4,28,28,28
18,RE_WIND_Offshore_Lim_5,28,28,28
19,RE_WIND_Offshore_Lim_6,28,28,28
20,RE_WIND_Offshore_Lim_7,28,28,28
21,RE_WIND_Offshore_Lim_8,28,28,28
22,RE_WIND_Offshore_Lim_9,28,28,28
23,HYDRO,28,28,28
24,PP_CO2,28,28,28
25,BESS,28,28,28
26,EL_to_HTH,28,28,28
27,EL_to_NH3,28,28,28
28,NH3_Storage,28,28,28
29,NH3_to_EL,28,28,28
30,NH3_to_HTH,28,28,28
31,FF_to_HTH,28,28,28
32,EL_Demand,28,28,28
33,HTH_Demand,28,28,28
34,RE_PV_Openfield_Lim,12,12,12
35,RE_PV_Rooftop_Lim,12,12,12
36,RE_WIND_Onshore_Lim_0,12,12,12
37,RE_WIND_Onshore_Lim_1,12,12,12
38,RE_WIND_Onshore_Lim_2,12,12,12
39,RE_WIND_Onshore_Lim_3,12,12,12
40,RE_WIND_Onshore_Lim_4,12,12,12
41,RE_WIND_Onshore_Lim_5,12,12,12
42,RE_WIND_Onshore_Lim_6,12,12,12
