country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
ID,MY,PH,,115.3,0.0,RE_PV_Rooftop_Lim_[ID]
ID,MY,PH,,115.3,4.0,RE_PV_Openfield_Lim_[ID]
ID,MY,PH,,115.3,10.4,RE_WIND_Offshore_Lim_[ID]
ID,MY,PH,,115.3,14.2,RE_WIND_Onshore_Lim_[ID]
ID,MY,PH,,115.3,3.0,PP_CO2_[ID]
ID,MY,PH,,115.3,0.1,BESS_[ID]
ID,MY,PH,,115.3,1.3,EL_to_HTH_[ID]
ID,MY,PH,,115.3,0.0,EL_to_NH3_[ID]
ID,MY,PH,,115.3,0.0,NH3_Storage_[ID]
ID,MY,PH,,115.3,0.0,NH3_to_EL_[ID]
ID,MY,PH,,115.3,0.0,NH3_to_HTH_[ID]
ID,MY,PH,,115.3,8.2,FF_to_HTH_[ID]
ID,MY,PH,,115.3,0.0,EL_Demand_[ID]
ID,MY,PH,,115.3,0.0,HTH_Demand_[ID]
ID,MY,PH,,115.3,0.0,RE_PV_Rooftop_Lim_[MY]
ID,MY,PH,,115.3,1.2,RE_PV_Openfield_Lim_[MY]
ID,MY,PH,,115.3,0.0,RE_WIND_Offshore_Lim_[MY]
ID,MY,PH,,115.3,4.4,RE_WIND_Onshore_Lim_[MY]
ID,MY,PH,,115.3,0.3,PP_CO2_[MY]
ID,MY,PH,,115.3,1.2,BESS_[MY]
ID,MY,PH,,115.3,0.1,EL_to_HTH_[MY]
ID,MY,PH,,115.3,0.0,EL_to_NH3_[MY]
ID,MY,PH,,115.3,0.0,NH3_Storage_[MY]
ID,MY,PH,,115.3,0.0,NH3_to_EL_[MY]
ID,MY,PH,,115.3,0.0,NH3_to_HTH_[MY]
ID,MY,PH,,115.3,1.1,FF_to_HTH_[MY]
ID,MY,PH,,115.3,0.0,EL_Demand_[MY]
ID,MY,PH,,115.3,0.0,HTH_Demand_[MY]
ID,MY,PH,,115.3,0.0,RE_PV_Rooftop_Lim_[PH]
ID,MY,PH,,115.3,0.3,RE_PV_Openfield_Lim_[PH]
ID,MY,PH,,115.3,2.9,RE_WIND_Offshore_Lim_[PH]
ID,MY,PH,,115.3,2.5,RE_WIND_Onshore_Lim_[PH]
ID,MY,PH,,115.3,0.5,PP_CO2_[PH]
ID,MY,PH,,115.3,0.1,BESS_[PH]
ID,MY,PH,,115.3,0.1,EL_to_HTH_[PH]
ID,MY,PH,,115.3,0.0,EL_to_NH3_[PH]
ID,MY,PH,,115.3,0.0,NH3_Storage_[PH]
ID,MY,PH,,115.3,0.0,NH3_to_EL_[PH]
ID,MY,PH,,115.3,0.0,NH3_to_HTH_[PH]
ID,MY,PH,,115.3,0.7,FF_to_HTH_[PH]
ID,MY,PH,,115.3,0.0,EL_Demand_[PH]
ID,MY,PH,,115.3,0.0,HTH_Demand_[PH]
ID,MY,PH,,115.3,0.6,EL_Transport_[ID-MY]
ID,MY,PH,,115.3,0.0,NH3_Transport_[ID-MY]
ID,MY,PH,,115.3,1.6,EL_Transport_[ID-PH]
ID,MY,PH,,115.3,0.0,NH3_Transport_[ID-PH]
ID,MY,PH,,115.3,0.1,EL_Transport_[MY-PH]
ID,MY,PH,,115.3,0.0,NH3_Transport_[MY-PH]
ID,MY,PH,,201.7,0.0,RE_PV_Rooftop_Lim_[ID]
ID,MY,PH,,201.7,3.8,RE_PV_Openfield_Lim_[ID]
ID,MY,PH,,201.7,17.3,RE_WIND_Offshore_Lim_[ID]
ID,MY,PH,,201.7,1.0,RE_WIND_Onshore_Lim_[ID]
ID,MY,PH,,201.7,6.0,PP_CO2_[ID]
ID,MY,PH,,201.7,0.0,BESS_[ID]
ID,MY,PH,,201.7,1.3,EL_to_HTH_[ID]
ID,MY,PH,,201.7,0.0,EL_to_NH3_[ID]
ID,MY,PH,,201.7,0.0,NH3_Storage_[ID]
ID,MY,PH,,201.7,0.0,NH3_to_EL_[ID]
ID,MY,PH,,201.7,0.0,NH3_to_HTH_[ID]
ID,MY,PH,,201.7,10.3,FF_to_HTH_[ID]
ID,MY,PH,,201.7,0.0,EL_Demand_[ID]
ID,MY,PH,,201.7,0.0,HTH_Demand_[ID]
ID,MY,PH,,201.7,0.0,RE_PV_Rooftop_Lim_[MY]
ID,MY,PH,,201.7,1.2,RE_PV_Openfield_Lim_[MY]
ID,MY,PH,,201.7,0.0,RE_WIND_Offshore_Lim_[MY]
ID,MY,PH,,201.7,3.6,RE_WIND_Onshore_Lim_[MY]
ID,MY,PH,,201.7,1.5,PP_CO2_[MY]
ID,MY,PH,,201.7,0.4,BESS_[MY]
ID,MY,PH,,201.7,0.1,EL_to_HTH_[MY]
ID,MY,PH,,201.7,0.0,EL_to_NH3_[MY]
ID,MY,PH,,201.7,0.0,NH3_Storage_[MY]
ID,MY,PH,,201.7,0.0,NH3_to_EL_[MY]
ID,MY,PH,,201.7,0.0,NH3_to_HTH_[MY]
ID,MY,PH,,201.7,1.3,FF_to_HTH_[MY]
