Demand,Unit
1152.275082,GW
1126.66773,GW
1106.18384,GW
1095.940899,GW
1101.06237,GW
1139.472402,GW
1147.153612,GW
1229.093156,GW
1305.911229,GW
1357.123942,GW
1382.729302,GW
1311.032699,GW
1305.911229,GW
1313.594431,GW
1316.15417,GW
1318.715901,GW
1318.715901,GW
1298.230019,GW
1298.230019,GW
1341.75953,GW
1346.881001,GW
1290.54881,GW
1193.244854,GW
1177.880443,GW
1152.275082,GW
1126.66773,GW
1106.18384,GW
1095.940899,GW
1101.06237,GW
1139.472402,GW
1147.153612,GW
1229.093156,GW
1305.911229,GW
1357.123942,GW
1382.729302,GW
1311.032699,GW
1305.911229,GW
1313.594431,GW
1316.15417,GW
1318.715901,GW
1318.715901,GW
1298.230019,GW
1298.230019,GW
1341.75953,GW
1346.881001,GW
1290.54881,GW
1193.244854,GW
1177.880443,GW
1152.275082,GW
1126.66773,GW
1106.18384,GW
1095.940899,GW
1101.06237,GW
1139.472402,GW
1147.153612,GW
1229.093156,GW
1305.911229,GW
1357.123942,GW
1382.729302,GW
1311.032699,GW
1305.911229,GW
1313.594431,GW
1316.15417,GW
1318.715901,GW
1318.715901,GW
1298.230019,GW
1298.230019,GW
1341.75953,GW
1346.881001,GW
1290.54881,GW
1193.244854,GW
1177.880443,GW
1152.275082,GW
1126.66773,GW
1106.18384,GW
1095.940899,GW
1101.06237,GW
1139.472402,GW
1147.153612,GW
1229.093156,GW
1305.911229,GW
1357.123942,GW
1382.729302,GW
1311.032699,GW
1305.911229,GW
1313.594431,GW
1316.15417,GW
1318.715901,GW
1318.715901,GW
1298.230019,GW
1298.230019,GW
1341.75953,GW
1346.881001,GW
1290.54881,GW
1193.244854,GW
1177.880443,GW
1152.275082,GW
1126.66773,GW
1106.18384,GW
1095.940899,GW
1101.06237,GW
1139.472402,GW
1147.153612,GW
1229.093156,GW
1305.911229,GW
1357.123942,GW
1382.729302,GW
1311.032699,GW
1305.911229,GW
1313.594431,GW
1316.15417,GW
1318.715901,GW
1318.715901,GW
1298.230019,GW
1298.230019,GW
1341.75953,GW
1346.881001,GW
1290.54881,GW
1193.244854,GW
1177.880443,GW
1152.275082,GW
1126.66773,GW
1106.18384,GW
1095.940899,GW
1101.06237,GW
1139.472402,GW
1147.153612,GW
