country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
KR,CN,IN,,0.0,22.6,1334.1,RE_PV_Openfield_Lim_[CN]
KR,CN,IN,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[CN]
KR,CN,IN,,0.0,61.1,1290.1,RE_WIND_Onshore_Lim_0_[CN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[CN]
KR,CN,IN,,0.0,72.3,1527.4,RE_WIND_Onshore_Lim_2_[CN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[CN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[CN]
KR,CN,IN,,0.0,23.5,496.1,RE_WIND_Onshore_Lim_5_[CN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[CN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[CN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[CN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[CN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[CN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[CN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[CN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[CN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[CN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[CN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[CN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[CN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[CN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[CN]
KR,CN,IN,,0.0,1.8,323.9,HYDRO_[CN]
KR,CN,IN,,0.0,0.0,0.0,PP_CO2_[CN]
KR,CN,IN,,0.0,8.0,444.6,BESS_[CN]
KR,CN,IN,,0.0,0.1,12.5,EL_to_HTH_[CN]
KR,CN,IN,,0.0,0.6,11.0,EL_to_NH3_[CN]
KR,CN,IN,,0.0,2.8,166.5,NH3_Storage_[CN]
KR,CN,IN,,0.0,1.7,21.2,NH3_to_EL_[CN]
KR,CN,IN,,0.0,0.0,2.4,NH3_to_HTH_[CN]
KR,CN,IN,,0.0,0.0,0.0,FF_to_HTH_[CN]
KR,CN,IN,,0.0,0.0,1594.8,EL_Demand_[CN]
KR,CN,IN,,0.0,0.0,12.6,HTH_Demand_[CN]
KR,CN,IN,,0.0,12.3,859.4,RE_PV_Openfield_Lim_[IN]
KR,CN,IN,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[IN]
KR,CN,IN,,0.0,67.4,1402.6,RE_WIND_Onshore_Lim_0_[IN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[IN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[IN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[IN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[IN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[IN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[IN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[IN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[IN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[IN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[IN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[IN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[IN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[IN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[IN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[IN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[IN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[IN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[IN]
KR,CN,IN,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[IN]
KR,CN,IN,,0.0,0.4,43.4,HYDRO_[IN]
KR,CN,IN,,0.0,0.0,0.0,PP_CO2_[IN]
KR,CN,IN,,0.0,17.0,946.2,BESS_[IN]
KR,CN,IN,,0.0,0.1,6.2,EL_to_HTH_[IN]
KR,CN,IN,,0.0,3.2,55.5,EL_to_NH3_[IN]
KR,CN,IN,,0.0,15.2,913.2,NH3_Storage_[IN]
