Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,1,1,75
1,RE_PV_Rooftop_Lim,1,1,1
2,RE_PV_Openfield_Lim,1,1,1
3,RE_WIND_Offshore_Lim,1,1,1
4,RE_WIND_Onshore_Lim,1,1,1
5,PP_CO2,1,1,1
6,BESS,1,1,1
7,EL_to_HTH,1,1,1
8,EL_to_NH3,1,1,1
9,NH3_Storage,1,1,1
10,NH3_to_EL,1,1,1
11,NH3_to_HTH,1,1,1
12,FF_to_HTH,1,1,1
13,EL_Demand,1,1,1
14,HTH_Demand,1,1,1
1,RE_PV_Rooftop_Lim,2,2,2
2,RE_PV_Openfield_Lim,2,2,2
3,RE_WIND_Offshore_Lim,2,2,2
4,RE_WIND_Onshore_Lim,2,2,2
5,PP_CO2,2,2,2
6,BESS,2,2,2
7,EL_to_HTH,2,2,2
8,EL_to_NH3,2,2,2
9,NH3_Storage,2,2,2
10,NH3_to_EL,2,2,2
11,NH3_to_HTH,2,2,2
12,FF_to_HTH,2,2,2
13,EL_Demand,2,2,2
14,HTH_Demand,2,2,2
1,RE_PV_Rooftop_Lim,0,0,0
2,RE_PV_Openfield_Lim,0,0,0
3,RE_WIND_Offshore_Lim,0,0,0
4,RE_WIND_Onshore_Lim,0,0,0
5,PP_CO2,0,0,0
6,BESS,0,0,0
7,EL_to_HTH,0,0,0
8,EL_to_NH3,0,0,0
9,NH3_Storage,0,0,0
10,NH3_to_EL,0,0,0
11,NH3_to_HTH,0,0,0
12,FF_to_HTH,0,0,0
13,EL_Demand,0,0,0
14,HTH_Demand,0,0,0
15,EL_Transport,1,2,0
16,NH3_Transport,1,2,0
17,EL_Transport,1,0,0
18,NH3_Transport,1,0,0
19,EL_Transport,2,0,0
20,NH3_Transport,2,0,0
