country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,MY,PH,,1.2442252345523651e-09,3.1479314053272307,RE_PV_Openfield_Lim_[KR]
KR,MY,PH,,1.2442252345523651e-09,0.29951526190042466,RE_PV_Rooftop_Lim_[KR]
KR,MY,PH,,1.2442252345523651e-09,8.425035061570025,RE_WIND_Onshore_Lim_0_[KR]
KR,MY,PH,,1.2442252345523651e-09,4.041385046141061e-10,RE_WIND_Onshore_Lim_1_[KR]
KR,MY,PH,,1.2442252345523651e-09,2.8654326079850497e-10,RE_WIND_Onshore_Lim_2_[KR]
KR,MY,PH,,1.2442252345523651e-09,2.0231844812257882e-10,RE_WIND_Onshore_Lim_3_[KR]
KR,MY,PH,,1.2442252345523651e-09,1.5408483947798428e-10,RE_WIND_Onshore_Lim_4_[KR]
KR,MY,PH,,1.2442252345523651e-09,1.3767891532033545e-10,RE_WIND_Onshore_Lim_5_[KR]
KR,MY,PH,,1.2442252345523651e-09,1.197867857426715e-10,RE_WIND_Onshore_Lim_6_[KR]
KR,MY,PH,,1.2442252345523651e-09,1.109376901662192e-10,RE_WIND_Onshore_Lim_7_[KR]
KR,MY,PH,,1.2442252345523651e-09,9.746384407728757e-11,RE_WIND_Onshore_Lim_8_[KR]
KR,MY,PH,,1.2442252345523651e-09,8.401495723662479e-11,RE_WIND_Onshore_Lim_9_[KR]
KR,MY,PH,,1.2442252345523651e-09,2.217435213767052e-10,RE_WIND_Offshore_Lim_0_[KR]
KR,MY,PH,,1.2442252345523651e-09,2.3870763797477703e-10,RE_WIND_Offshore_Lim_1_[KR]
KR,MY,PH,,1.2442252345523651e-09,1.8060005841812374e-10,RE_WIND_Offshore_Lim_2_[KR]
KR,MY,PH,,1.2442252345523651e-09,2.58205443956707e-10,RE_WIND_Offshore_Lim_3_[KR]
KR,MY,PH,,1.2442252345523651e-09,1.7846785605701555e-10,RE_WIND_Offshore_Lim_4_[KR]
KR,MY,PH,,1.2442252345523651e-09,2.4904022449474787e-10,RE_WIND_Offshore_Lim_5_[KR]
KR,MY,PH,,1.2442252345523651e-09,2.429827378461481e-10,RE_WIND_Offshore_Lim_6_[KR]
KR,MY,PH,,1.2442252345523651e-09,1.5242160933034876e-10,RE_WIND_Offshore_Lim_7_[KR]
KR,MY,PH,,1.2442252345523651e-09,1.9458855990135718e-10,RE_WIND_Offshore_Lim_8_[KR]
KR,MY,PH,,1.2442252345523651e-09,1.566728474548486e-10,RE_WIND_Offshore_Lim_9_[KR]
KR,MY,PH,,1.2442252345523651e-09,0.1314641631618167,HYDRO_[KR]
KR,MY,PH,,1.2442252345523651e-09,0.0,PP_CO2_[KR]
KR,MY,PH,,1.2442252345523651e-09,3.2838347936706778,BESS_[KR]
KR,MY,PH,,1.2442252345523651e-09,0.2636868932383769,EL_to_HTH_[KR]
KR,MY,PH,,1.2442252345523651e-09,1.522374923048486,EL_to_NH3_[KR]
KR,MY,PH,,1.2442252345523651e-09,3.259246146499268,NH3_Storage_[KR]
KR,MY,PH,,1.2442252345523651e-09,0.687886046528384,NH3_to_EL_[KR]
KR,MY,PH,,1.2442252345523651e-09,0.06504467080392821,NH3_to_HTH_[KR]
KR,MY,PH,,1.2442252345523651e-09,4.30688949246827e-11,FF_to_HTH_[KR]
KR,MY,PH,,1.2442252345523651e-09,0.0,EL_Demand_[KR]
KR,MY,PH,,1.2442252345523651e-09,0.0,HTH_Demand_[KR]
KR,MY,PH,,1.2442252345523651e-09,2.173018091902843,RE_PV_Openfield_Lim_[MY]
KR,MY,PH,,1.2442252345523651e-09,4.423515000668665e-10,RE_PV_Rooftop_Lim_[MY]
KR,MY,PH,,1.2442252345523651e-09,3.825673108473061,RE_WIND_Onshore_Lim_0_[MY]
KR,MY,PH,,1.2442252345523651e-09,6.788290689040618e-10,RE_WIND_Onshore_Lim_1_[MY]
KR,MY,PH,,1.2442252345523651e-09,5.372201667965758e-10,RE_WIND_Onshore_Lim_2_[MY]
KR,MY,PH,,1.2442252345523651e-09,7.619430836624823e-10,RE_WIND_Onshore_Lim_3_[MY]
KR,MY,PH,,1.2442252345523651e-09,7.540702176182297e-10,RE_WIND_Onshore_Lim_4_[MY]
KR,MY,PH,,1.2442252345523651e-09,5.568109910560388e-10,RE_WIND_Onshore_Lim_5_[MY]
KR,MY,PH,,1.2442252345523651e-09,3.974118451153399e-10,RE_WIND_Onshore_Lim_6_[MY]
KR,MY,PH,,1.2442252345523651e-09,2.7265872272035333e-10,RE_WIND_Onshore_Lim_7_[MY]
KR,MY,PH,,1.2442252345523651e-09,1.9701479899357794e-10,RE_WIND_Onshore_Lim_8_[MY]
KR,MY,PH,,1.2442252345523651e-09,1.5060498925063307e-10,RE_WIND_Onshore_Lim_9_[MY]
KR,MY,PH,,1.2442252345523651e-09,1.5597681073136786e-10,RE_WIND_Offshore_Lim_0_[MY]
KR,MY,PH,,1.2442252345523651e-09,1.093228370526843e-10,RE_WIND_Offshore_Lim_1_[MY]
KR,MY,PH,,1.2442252345523651e-09,9.430730568946598e-11,RE_WIND_Offshore_Lim_2_[MY]
KR,MY,PH,,1.2442252345523651e-09,9.004569407456007e-11,RE_WIND_Offshore_Lim_3_[MY]
KR,MY,PH,,1.2442252345523651e-09,8.379374694603192e-11,RE_WIND_Offshore_Lim_4_[MY]
KR,MY,PH,,1.2442252345523651e-09,7.817991717351492e-11,RE_WIND_Offshore_Lim_5_[MY]
KR,MY,PH,,1.2442252345523651e-09,6.911380550147936e-11,RE_WIND_Offshore_Lim_6_[MY]
KR,MY,PH,,1.2442252345523651e-09,6.612697267718582e-11,RE_WIND_Offshore_Lim_7_[MY]
KR,MY,PH,,1.2442252345523651e-09,6.446066124126518e-11,RE_WIND_Offshore_Lim_8_[MY]
KR,MY,PH,,1.2442252345523651e-09,5.946358355582948e-11,RE_WIND_Offshore_Lim_9_[MY]
KR,MY,PH,,1.2442252345523651e-09,0.14839386064075819,HYDRO_[MY]
KR,MY,PH,,1.2442252345523651e-09,0.0,PP_CO2_[MY]
KR,MY,PH,,1.2442252345523651e-09,2.697744025615751,BESS_[MY]
KR,MY,PH,,1.2442252345523651e-09,0.1395769866318507,EL_to_HTH_[MY]
KR,MY,PH,,1.2442252345523651e-09,0.5317288326805488,EL_to_NH3_[MY]
KR,MY,PH,,1.2442252345523651e-09,1.0486666555085657,NH3_Storage_[MY]
KR,MY,PH,,1.2442252345523651e-09,0.09463569194155835,NH3_to_EL_[MY]
KR,MY,PH,,1.2442252345523651e-09,0.03043105896051356,NH3_to_HTH_[MY]
KR,MY,PH,,1.2442252345523651e-09,4.3073091649679215e-11,FF_to_HTH_[MY]
KR,MY,PH,,1.2442252345523651e-09,0.0,EL_Demand_[MY]
KR,MY,PH,,1.2442252345523651e-09,0.0,HTH_Demand_[MY]
KR,MY,PH,,1.2442252345523651e-09,0.6598609212541368,RE_PV_Openfield_Lim_[PH]
KR,MY,PH,,1.2442252345523651e-09,4.5371174473336794e-10,RE_PV_Rooftop_Lim_[PH]
KR,MY,PH,,1.2442252345523651e-09,5.803170823777107,RE_WIND_Onshore_Lim_0_[PH]
KR,MY,PH,,1.2442252345523651e-09,5.370530852914542e-10,RE_WIND_Onshore_Lim_1_[PH]
KR,MY,PH,,1.2442252345523651e-09,4.51186879957181e-10,RE_WIND_Onshore_Lim_2_[PH]
KR,MY,PH,,1.2442252345523651e-09,4.360320981467632e-10,RE_WIND_Onshore_Lim_3_[PH]
KR,MY,PH,,1.2442252345523651e-09,3.5944584235147147e-10,RE_WIND_Onshore_Lim_4_[PH]
KR,MY,PH,,1.2442252345523651e-09,3.1814812921780935e-10,RE_WIND_Onshore_Lim_5_[PH]
KR,MY,PH,,1.2442252345523651e-09,2.740934527145805e-10,RE_WIND_Onshore_Lim_6_[PH]
KR,MY,PH,,1.2442252345523651e-09,2.3000938740069219e-10,RE_WIND_Onshore_Lim_7_[PH]
KR,MY,PH,,1.2442252345523651e-09,1.9445044416600327e-10,RE_WIND_Onshore_Lim_8_[PH]
KR,MY,PH,,1.2442252345523651e-09,1.5435104460211485e-10,RE_WIND_Onshore_Lim_9_[PH]
KR,MY,PH,,1.2442252345523651e-09,1.5766268796618026e-10,RE_WIND_Offshore_Lim_0_[PH]
KR,MY,PH,,1.2442252345523651e-09,1.302990455670508e-10,RE_WIND_Offshore_Lim_1_[PH]
KR,MY,PH,,1.2442252345523651e-09,1.2249059648695326e-10,RE_WIND_Offshore_Lim_2_[PH]
KR,MY,PH,,1.2442252345523651e-09,1.203214815875028e-10,RE_WIND_Offshore_Lim_3_[PH]
KR,MY,PH,,1.2442252345523651e-09,1.2309566269857032e-10,RE_WIND_Offshore_Lim_4_[PH]
KR,MY,PH,,1.2442252345523651e-09,1.2312032069909887e-10,RE_WIND_Offshore_Lim_5_[PH]
KR,MY,PH,,1.2442252345523651e-09,1.1941125108133944e-10,RE_WIND_Offshore_Lim_6_[PH]
KR,MY,PH,,1.2442252345523651e-09,1.1524279931806489e-10,RE_WIND_Offshore_Lim_7_[PH]
KR,MY,PH,,1.2442252345523651e-09,1.0281332590294522e-10,RE_WIND_Offshore_Lim_8_[PH]
KR,MY,PH,,1.2442252345523651e-09,0.0,RE_WIND_Offshore_Lim_9_[PH]
KR,MY,PH,,1.2442252345523651e-09,0.06240454775697805,HYDRO_[PH]
KR,MY,PH,,1.2442252345523651e-09,0.0,PP_CO2_[PH]
KR,MY,PH,,1.2442252345523651e-09,4.340492264292266e-06,BESS_[PH]
KR,MY,PH,,1.2442252345523651e-09,0.12644344374179556,EL_to_HTH_[PH]
KR,MY,PH,,1.2442252345523651e-09,0.9088952918131388,EL_to_NH3_[PH]
KR,MY,PH,,1.2442252345523651e-09,2.0484924534126736,NH3_Storage_[PH]
KR,MY,PH,,1.2442252345523651e-09,0.46876839558556405,NH3_to_EL_[PH]
KR,MY,PH,,1.2442252345523651e-09,0.025270889512693233,NH3_to_HTH_[PH]
KR,MY,PH,,1.2442252345523651e-09,4.304040698551473e-11,FF_to_HTH_[PH]
KR,MY,PH,,1.2442252345523651e-09,0.0,EL_Demand_[PH]
KR,MY,PH,,1.2442252345523651e-09,0.0,HTH_Demand_[PH]
KR,MY,PH,,1.2442252345523651e-09,2.6259715904823044e-06,EL_Transport_[KR-MY]
KR,MY,PH,,1.2442252345523651e-09,0.009095069807720197,NH3_Transport_[KR-MY]
KR,MY,PH,,1.2442252345523651e-09,4.217496840144736,EL_Transport_[KR-PH]
KR,MY,PH,,1.2442252345523651e-09,0.021792695305813858,NH3_Transport_[KR-PH]
KR,MY,PH,,1.2442252345523651e-09,0.8532904906680692,EL_Transport_[MY-PH]
KR,MY,PH,,1.2442252345523651e-09,0.008368775120570236,NH3_Transport_[MY-PH]
KR,MY,PH,,167.29565368601155,2.118945322313598,RE_PV_Openfield_Lim_[KR]
KR,MY,PH,,167.29565368601155,4.194936257974188e-11,RE_PV_Rooftop_Lim_[KR]
KR,MY,PH,,167.29565368601155,6.817605151555967,RE_WIND_Onshore_Lim_0_[KR]
KR,MY,PH,,167.29565368601155,7.481087611482814e-11,RE_WIND_Onshore_Lim_1_[KR]
KR,MY,PH,,167.29565368601155,5.5249958091541595e-11,RE_WIND_Onshore_Lim_2_[KR]
KR,MY,PH,,167.29565368601155,3.715143350200106e-11,RE_WIND_Onshore_Lim_3_[KR]
KR,MY,PH,,167.29565368601155,2.5348138532160204e-11,RE_WIND_Onshore_Lim_4_[KR]
KR,MY,PH,,167.29565368601155,2.30472542099511e-11,RE_WIND_Onshore_Lim_5_[KR]
KR,MY,PH,,167.29565368601155,1.8752420419276237e-11,RE_WIND_Onshore_Lim_6_[KR]
KR,MY,PH,,167.29565368601155,1.7176448954495248e-11,RE_WIND_Onshore_Lim_7_[KR]
KR,MY,PH,,167.29565368601155,1.4338285590679524e-11,RE_WIND_Onshore_Lim_8_[KR]
KR,MY,PH,,167.29565368601155,1.192993219838936e-11,RE_WIND_Onshore_Lim_9_[KR]
KR,MY,PH,,167.29565368601155,1.5062688389228207e-12,RE_WIND_Offshore_Lim_0_[KR]
KR,MY,PH,,167.29565368601155,6.21631541206265e-13,RE_WIND_Offshore_Lim_1_[KR]
KR,MY,PH,,167.29565368601155,0.0,RE_WIND_Offshore_Lim_2_[KR]
KR,MY,PH,,167.29565368601155,1.126031591955844e-12,RE_WIND_Offshore_Lim_3_[KR]
KR,MY,PH,,167.29565368601155,0.0,RE_WIND_Offshore_Lim_4_[KR]
KR,MY,PH,,167.29565368601155,0.0,RE_WIND_Offshore_Lim_5_[KR]
KR,MY,PH,,167.29565368601155,1.2632116072074576e-13,RE_WIND_Offshore_Lim_6_[KR]
KR,MY,PH,,167.29565368601155,0.0,RE_WIND_Offshore_Lim_7_[KR]
KR,MY,PH,,167.29565368601155,0.0,RE_WIND_Offshore_Lim_8_[KR]
KR,MY,PH,,167.29565368601155,0.0,RE_WIND_Offshore_Lim_9_[KR]
KR,MY,PH,,167.29565368601155,0.13146416323190568,HYDRO_[KR]
KR,MY,PH,,167.29565368601155,6.193113451279939,PP_CO2_[KR]
KR,MY,PH,,167.29565368601155,0.14344639833302705,BESS_[KR]
KR,MY,PH,,167.29565368601155,0.25854339210598354,EL_to_HTH_[KR]
KR,MY,PH,,167.29565368601155,4.6033418033189994e-08,EL_to_NH3_[KR]
KR,MY,PH,,167.29565368601155,6.171030047101079e-08,NH3_Storage_[KR]
KR,MY,PH,,167.29565368601155,7.337314827434107e-08,NH3_to_EL_[KR]
KR,MY,PH,,167.29565368601155,1.1450149858016976e-08,NH3_to_HTH_[KR]
KR,MY,PH,,167.29565368601155,2.5819010882399556,FF_to_HTH_[KR]
KR,MY,PH,,167.29565368601155,0.0,EL_Demand_[KR]
KR,MY,PH,,167.29565368601155,0.0,HTH_Demand_[KR]
KR,MY,PH,,167.29565368601155,1.15987767787222,RE_PV_Openfield_Lim_[MY]
KR,MY,PH,,167.29565368601155,4.090615347286212e-11,RE_PV_Rooftop_Lim_[MY]
KR,MY,PH,,167.29565368601155,1.8484778889378497,RE_WIND_Onshore_Lim_0_[MY]
KR,MY,PH,,167.29565368601155,5.938774868234611e-11,RE_WIND_Onshore_Lim_1_[MY]
KR,MY,PH,,167.29565368601155,3.862602482819535e-11,RE_WIND_Onshore_Lim_2_[MY]
KR,MY,PH,,167.29565368601155,3.286565397801445e-11,RE_WIND_Onshore_Lim_3_[MY]
KR,MY,PH,,167.29565368601155,2.7232291489190925e-11,RE_WIND_Onshore_Lim_4_[MY]
KR,MY,PH,,167.29565368601155,2.291912501550541e-11,RE_WIND_Onshore_Lim_5_[MY]
KR,MY,PH,,167.29565368601155,1.8684183934810925e-11,RE_WIND_Onshore_Lim_6_[MY]
KR,MY,PH,,167.29565368601155,1.4006229873467179e-11,RE_WIND_Onshore_Lim_7_[MY]
KR,MY,PH,,167.29565368601155,1.0178640307381577e-11,RE_WIND_Onshore_Lim_8_[MY]
KR,MY,PH,,167.29565368601155,7.265068384107439e-12,RE_WIND_Onshore_Lim_9_[MY]
KR,MY,PH,,167.29565368601155,1.6191918946878998e-12,RE_WIND_Offshore_Lim_0_[MY]
KR,MY,PH,,167.29565368601155,0.0,RE_WIND_Offshore_Lim_1_[MY]
KR,MY,PH,,167.29565368601155,0.0,RE_WIND_Offshore_Lim_2_[MY]
KR,MY,PH,,167.29565368601155,0.0,RE_WIND_Offshore_Lim_3_[MY]
KR,MY,PH,,167.29565368601155,0.0,RE_WIND_Offshore_Lim_4_[MY]
KR,MY,PH,,167.29565368601155,0.0,RE_WIND_Offshore_Lim_5_[MY]
KR,MY,PH,,167.29565368601155,0.0,RE_WIND_Offshore_Lim_6_[MY]
KR,MY,PH,,167.29565368601155,0.0,RE_WIND_Offshore_Lim_7_[MY]
KR,MY,PH,,167.29565368601155,0.0,RE_WIND_Offshore_Lim_8_[MY]
KR,MY,PH,,167.29565368601155,0.0,RE_WIND_Offshore_Lim_9_[MY]
KR,MY,PH,,167.29565368601155,0.162050903669574,HYDRO_[MY]
KR,MY,PH,,167.29565368601155,2.613484666994524,PP_CO2_[MY]
KR,MY,PH,,167.29565368601155,0.106199398721363,BESS_[MY]
KR,MY,PH,,167.29565368601155,0.1296049883336797,EL_to_HTH_[MY]
KR,MY,PH,,167.29565368601155,2.2464933740701363e-08,EL_to_NH3_[MY]
KR,MY,PH,,167.29565368601155,1.1300108793064618e-07,NH3_Storage_[MY]
KR,MY,PH,,167.29565368601155,1.3457469445410175e-07,NH3_to_EL_[MY]
KR,MY,PH,,167.29565368601155,1.519709963750915e-08,NH3_to_HTH_[MY]
KR,MY,PH,,167.29565368601155,1.5408755243719596,FF_to_HTH_[MY]
KR,MY,PH,,167.29565368601155,0.0,EL_Demand_[MY]
KR,MY,PH,,167.29565368601155,0.0,HTH_Demand_[MY]
KR,MY,PH,,167.29565368601155,6.001332587961864e-11,RE_PV_Openfield_Lim_[PH]
KR,MY,PH,,167.29565368601155,2.62864120625516e-11,RE_PV_Rooftop_Lim_[PH]
KR,MY,PH,,167.29565368601155,2.8808550740324876,RE_WIND_Onshore_Lim_0_[PH]
KR,MY,PH,,167.29565368601155,5.427648419277166e-11,RE_WIND_Onshore_Lim_1_[PH]
KR,MY,PH,,167.29565368601155,3.7143434070795467e-11,RE_WIND_Onshore_Lim_2_[PH]
KR,MY,PH,,167.29565368601155,3.068802655999414e-11,RE_WIND_Onshore_Lim_3_[PH]
KR,MY,PH,,167.29565368601155,2.555164253903209e-11,RE_WIND_Onshore_Lim_4_[PH]
KR,MY,PH,,167.29565368601155,2.267800095028771e-11,RE_WIND_Onshore_Lim_5_[PH]
KR,MY,PH,,167.29565368601155,1.9053532019330298e-11,RE_WIND_Onshore_Lim_6_[PH]
KR,MY,PH,,167.29565368601155,1.6143677107178834e-11,RE_WIND_Onshore_Lim_7_[PH]
KR,MY,PH,,167.29565368601155,1.2560896125995812e-11,RE_WIND_Onshore_Lim_8_[PH]
KR,MY,PH,,167.29565368601155,8.218162940605858e-12,RE_WIND_Onshore_Lim_9_[PH]
KR,MY,PH,,167.29565368601155,5.357012619424614e-12,RE_WIND_Offshore_Lim_0_[PH]
KR,MY,PH,,167.29565368601155,1.5214056284561857e-12,RE_WIND_Offshore_Lim_1_[PH]
KR,MY,PH,,167.29565368601155,0.0,RE_WIND_Offshore_Lim_2_[PH]
KR,MY,PH,,167.29565368601155,0.0,RE_WIND_Offshore_Lim_3_[PH]
KR,MY,PH,,167.29565368601155,0.0,RE_WIND_Offshore_Lim_4_[PH]
KR,MY,PH,,167.29565368601155,0.0,RE_WIND_Offshore_Lim_5_[PH]
KR,MY,PH,,167.29565368601155,0.0,RE_WIND_Offshore_Lim_6_[PH]
KR,MY,PH,,167.29565368601155,0.0,RE_WIND_Offshore_Lim_7_[PH]
KR,MY,PH,,167.29565368601155,0.0,RE_WIND_Offshore_Lim_8_[PH]
KR,MY,PH,,167.29565368601155,0.0,RE_WIND_Offshore_Lim_9_[PH]
KR,MY,PH,,167.29565368601155,0.08507785558722439,HYDRO_[PH]
KR,MY,PH,,167.29565368601155,1.6603267206935937,PP_CO2_[PH]
KR,MY,PH,,167.29565368601155,5.154626700372367e-07,BESS_[PH]
KR,MY,PH,,167.29565368601155,0.12643943381039896,EL_to_HTH_[PH]
KR,MY,PH,,167.29565368601155,7.829539323775037e-07,EL_to_NH3_[PH]
KR,MY,PH,,167.29565368601155,4.048091209172433e-06,NH3_Storage_[PH]
KR,MY,PH,,167.29565368601155,2.647467296332575e-08,NH3_to_EL_[PH]
KR,MY,PH,,167.29565368601155,2.11057141195775e-06,NH3_to_HTH_[PH]
KR,MY,PH,,167.29565368601155,0.7335159403780028,FF_to_HTH_[PH]
KR,MY,PH,,167.29565368601155,0.0,EL_Demand_[PH]
KR,MY,PH,,167.29565368601155,0.0,HTH_Demand_[PH]
KR,MY,PH,,167.29565368601155,5.192563682038085e-08,EL_Transport_[KR-MY]
KR,MY,PH,,167.29565368601155,1.832133901794067e-10,NH3_Transport_[KR-MY]
KR,MY,PH,,167.29565368601155,1.1346274990036165,EL_Transport_[KR-PH]
KR,MY,PH,,167.29565368601155,6.787488780894692e-10,NH3_Transport_[KR-PH]
KR,MY,PH,,167.29565368601155,0.33865347991641903,EL_Transport_[MY-PH]
KR,MY,PH,,167.29565368601155,1.5942655607533173e-09,NH3_Transport_[MY-PH]
KR,MY,PH,,167.2939847307158,2.118903955215032,RE_PV_Openfield_Lim_[KR]
KR,MY,PH,,167.2939847307158,9.510296862472315e-11,RE_PV_Rooftop_Lim_[KR]
KR,MY,PH,,167.2939847307158,6.8176621441004635,RE_WIND_Onshore_Lim_0_[KR]
KR,MY,PH,,167.2939847307158,1.6960819383374668e-10,RE_WIND_Onshore_Lim_1_[KR]
KR,MY,PH,,167.2939847307158,1.252480363112501e-10,RE_WIND_Onshore_Lim_2_[KR]
KR,MY,PH,,167.2939847307158,8.420430231983665e-11,RE_WIND_Onshore_Lim_3_[KR]
KR,MY,PH,,167.2939847307158,5.743422079363365e-11,RE_WIND_Onshore_Lim_4_[KR]
KR,MY,PH,,167.2939847307158,5.2224332776077945e-11,RE_WIND_Onshore_Lim_5_[KR]
KR,MY,PH,,167.2939847307158,4.247672054636575e-11,RE_WIND_Onshore_Lim_6_[KR]
KR,MY,PH,,167.2939847307158,3.890672667860115e-11,RE_WIND_Onshore_Lim_7_[KR]
KR,MY,PH,,167.2939847307158,3.2467245703496126e-11,RE_WIND_Onshore_Lim_8_[KR]
KR,MY,PH,,167.2939847307158,2.7013920335112987e-11,RE_WIND_Onshore_Lim_9_[KR]
KR,MY,PH,,167.2939847307158,3.2423972500772845e-12,RE_WIND_Offshore_Lim_0_[KR]
KR,MY,PH,,167.2939847307158,1.1875624100642534e-12,RE_WIND_Offshore_Lim_1_[KR]
KR,MY,PH,,167.2939847307158,0.0,RE_WIND_Offshore_Lim_2_[KR]
KR,MY,PH,,167.2939847307158,2.343939855963558e-12,RE_WIND_Offshore_Lim_3_[KR]
KR,MY,PH,,167.2939847307158,0.0,RE_WIND_Offshore_Lim_4_[KR]
KR,MY,PH,,167.2939847307158,0.0,RE_WIND_Offshore_Lim_5_[KR]
KR,MY,PH,,167.2939847307158,1.6927668525685248e-13,RE_WIND_Offshore_Lim_6_[KR]
KR,MY,PH,,167.2939847307158,0.0,RE_WIND_Offshore_Lim_7_[KR]
KR,MY,PH,,167.2939847307158,0.0,RE_WIND_Offshore_Lim_8_[KR]
KR,MY,PH,,167.2939847307158,0.0,RE_WIND_Offshore_Lim_9_[KR]
KR,MY,PH,,167.2939847307158,0.13146416322923998,HYDRO_[KR]
KR,MY,PH,,167.2939847307158,6.193041168958667,PP_CO2_[KR]
KR,MY,PH,,167.2939847307158,0.14339186746799812,BESS_[KR]
KR,MY,PH,,167.2939847307158,0.2585433947856429,EL_to_HTH_[KR]
KR,MY,PH,,167.2939847307158,1.0476443305024457e-07,EL_to_NH3_[KR]
KR,MY,PH,,167.2939847307158,1.3919690391312025e-07,NH3_Storage_[KR]
KR,MY,PH,,167.2939847307158,1.6550290437688728e-07,NH3_to_EL_[KR]
KR,MY,PH,,167.2939847307158,2.585939433696033e-08,NH3_to_HTH_[KR]
KR,MY,PH,,167.2939847307158,2.5818843203212136,FF_to_HTH_[KR]
KR,MY,PH,,167.2939847307158,0.0,EL_Demand_[KR]
KR,MY,PH,,167.2939847307158,0.0,HTH_Demand_[KR]
KR,MY,PH,,167.2939847307158,1.1598752629334135,RE_PV_Openfield_Lim_[MY]
KR,MY,PH,,167.2939847307158,9.274101837032132e-11,RE_PV_Rooftop_Lim_[MY]
KR,MY,PH,,167.2939847307158,1.8484623124968649,RE_WIND_Onshore_Lim_0_[MY]
KR,MY,PH,,167.2939847307158,1.346224298246767e-10,RE_WIND_Onshore_Lim_1_[MY]
KR,MY,PH,,167.2939847307158,8.753948245612024e-11,RE_WIND_Onshore_Lim_2_[MY]
KR,MY,PH,,167.2939847307158,7.446911929851164e-11,RE_WIND_Onshore_Lim_3_[MY]
KR,MY,PH,,167.2939847307158,6.168788931061056e-11,RE_WIND_Onshore_Lim_4_[MY]
KR,MY,PH,,167.2939847307158,5.1905446585276366e-11,RE_WIND_Onshore_Lim_5_[MY]
KR,MY,PH,,167.2939847307158,4.2301813188198845e-11,RE_WIND_Onshore_Lim_6_[MY]
KR,MY,PH,,167.2939847307158,3.1694826620385294e-11,RE_WIND_Onshore_Lim_7_[MY]
KR,MY,PH,,167.2939847307158,2.30162485468187e-11,RE_WIND_Onshore_Lim_8_[MY]
KR,MY,PH,,167.2939847307158,1.640965821280885e-11,RE_WIND_Onshore_Lim_9_[MY]
KR,MY,PH,,167.2939847307158,3.5389163824440758e-12,RE_WIND_Offshore_Lim_0_[MY]
KR,MY,PH,,167.2939847307158,0.0,RE_WIND_Offshore_Lim_1_[MY]
KR,MY,PH,,167.2939847307158,0.0,RE_WIND_Offshore_Lim_2_[MY]
KR,MY,PH,,167.2939847307158,0.0,RE_WIND_Offshore_Lim_3_[MY]
KR,MY,PH,,167.2939847307158,0.0,RE_WIND_Offshore_Lim_4_[MY]
KR,MY,PH,,167.2939847307158,0.0,RE_WIND_Offshore_Lim_5_[MY]
KR,MY,PH,,167.2939847307158,0.0,RE_WIND_Offshore_Lim_6_[MY]
KR,MY,PH,,167.2939847307158,0.0,RE_WIND_Offshore_Lim_7_[MY]
KR,MY,PH,,167.2939847307158,0.0,RE_WIND_Offshore_Lim_8_[MY]
KR,MY,PH,,167.2939847307158,0.0,RE_WIND_Offshore_Lim_9_[MY]
KR,MY,PH,,167.2939847307158,0.16205090366492597,HYDRO_[MY]
KR,MY,PH,,167.2939847307158,2.6134292769533265,PP_CO2_[MY]
KR,MY,PH,,167.2939847307158,0.10624802587107025,BESS_[MY]
KR,MY,PH,,167.2939847307158,0.12959442980129862,EL_to_HTH_[MY]
KR,MY,PH,,167.2939847307158,5.1053280083193323e-08,EL_to_NH3_[MY]
KR,MY,PH,,167.2939847307158,2.535521711065914e-07,NH3_Storage_[MY]
KR,MY,PH,,167.2939847307158,3.0195597502576065e-07,NH3_to_EL_[MY]
KR,MY,PH,,167.2939847307158,3.417008605450605e-08,NH3_to_HTH_[MY]
KR,MY,PH,,167.2939847307158,1.5408974435602656,FF_to_HTH_[MY]
KR,MY,PH,,167.2939847307158,0.0,EL_Demand_[MY]
KR,MY,PH,,167.2939847307158,0.0,HTH_Demand_[MY]
KR,MY,PH,,167.2939847307158,1.359527887322025e-10,RE_PV_Openfield_Lim_[PH]
KR,MY,PH,,167.2939847307158,5.957353808062101e-11,RE_PV_Rooftop_Lim_[PH]
KR,MY,PH,,167.2939847307158,2.8809113107722495,RE_WIND_Onshore_Lim_0_[PH]
KR,MY,PH,,167.2939847307158,1.2304300905815074e-10,RE_WIND_Onshore_Lim_1_[PH]
KR,MY,PH,,167.2939847307158,8.419252170512785e-11,RE_WIND_Onshore_Lim_2_[PH]
KR,MY,PH,,167.2939847307158,6.955694074025269e-11,RE_WIND_Onshore_Lim_3_[PH]
KR,MY,PH,,167.2939847307158,5.7909198881304073e-11,RE_WIND_Onshore_Lim_4_[PH]
KR,MY,PH,,167.2939847307158,5.1388844202564765e-11,RE_WIND_Onshore_Lim_5_[PH]
KR,MY,PH,,167.2939847307158,4.316819134920026e-11,RE_WIND_Onshore_Lim_6_[PH]
KR,MY,PH,,167.2939847307158,3.656762817154406e-11,RE_WIND_Onshore_Lim_7_[PH]
KR,MY,PH,,167.2939847307158,2.8436816520040035e-11,RE_WIND_Onshore_Lim_8_[PH]
KR,MY,PH,,167.2939847307158,1.857827205087492e-11,RE_WIND_Onshore_Lim_9_[PH]
KR,MY,PH,,167.2939847307158,1.2023004143262305e-11,RE_WIND_Offshore_Lim_0_[PH]
