country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
CN,,,,3566.6,4.5,RE_PV_Openfield_Lim_[CN]
CN,,,,3566.6,0.0,RE_PV_Rooftop_Lim_[CN]
CN,,,,3566.6,36.2,RE_WIND_Onshore_Lim_0_[CN]
CN,,,,3566.6,0.0,RE_WIND_Onshore_Lim_1_[CN]
CN,,,,3566.6,0.0,RE_WIND_Onshore_Lim_2_[CN]
CN,,,,3566.6,0.0,RE_WIND_Onshore_Lim_3_[CN]
CN,,,,3566.6,0.0,RE_WIND_Onshore_Lim_4_[CN]
CN,,,,3566.6,0.0,RE_WIND_Onshore_Lim_5_[CN]
CN,,,,3566.6,0.0,RE_WIND_Onshore_Lim_6_[CN]
CN,,,,3566.6,0.0,RE_WIND_Onshore_Lim_7_[CN]
CN,,,,3566.6,0.0,RE_WIND_Onshore_Lim_8_[CN]
CN,,,,3566.6,0.0,RE_WIND_Onshore_Lim_9_[CN]
CN,,,,3566.6,0.0,RE_WIND_Offshore_Lim_0_[CN]
CN,,,,3566.6,0.0,RE_WIND_Offshore_Lim_1_[CN]
CN,,,,3566.6,0.0,RE_WIND_Offshore_Lim_2_[CN]
CN,,,,3566.6,0.0,RE_WIND_Offshore_Lim_3_[CN]
CN,,,,3566.6,0.0,RE_WIND_Offshore_Lim_4_[CN]
CN,,,,3566.6,0.0,RE_WIND_Offshore_Lim_5_[CN]
CN,,,,3566.6,0.0,RE_WIND_Offshore_Lim_6_[CN]
CN,,,,3566.6,0.0,RE_WIND_Offshore_Lim_7_[CN]
CN,,,,3566.6,0.0,RE_WIND_Offshore_Lim_8_[CN]
CN,,,,3566.6,0.0,RE_WIND_Offshore_Lim_9_[CN]
CN,,,,3566.6,9.9,HYDRO_[CN]
CN,,,,3566.6,40.1,PP_CO2_[CN]
CN,,,,3566.6,0.2,BESS_[CN]
CN,,,,3566.6,0.1,EL_to_HTH_[CN]
CN,,,,3566.6,0.0,EL_to_NH3_[CN]
CN,,,,3566.6,0.0,NH3_Storage_[CN]
CN,,,,3566.6,0.0,NH3_to_EL_[CN]
CN,,,,3566.6,0.0,NH3_to_HTH_[CN]
CN,,,,3566.6,0.1,FF_to_HTH_[CN]
CN,,,,3566.6,0.0,EL_Demand_[CN]
CN,,,,3566.6,0.0,HTH_Demand_[CN]
CN,,,,5699.9,2.4,RE_PV_Openfield_Lim_[CN]
CN,,,,5699.9,0.0,RE_PV_Rooftop_Lim_[CN]
CN,,,,5699.9,10.8,RE_WIND_Onshore_Lim_0_[CN]
CN,,,,5699.9,0.0,RE_WIND_Onshore_Lim_1_[CN]
CN,,,,5699.9,0.0,RE_WIND_Onshore_Lim_2_[CN]
CN,,,,5699.9,0.0,RE_WIND_Onshore_Lim_3_[CN]
CN,,,,5699.9,0.0,RE_WIND_Onshore_Lim_4_[CN]
CN,,,,5699.9,0.0,RE_WIND_Onshore_Lim_5_[CN]
CN,,,,5699.9,0.0,RE_WIND_Onshore_Lim_6_[CN]
CN,,,,5699.9,0.0,RE_WIND_Onshore_Lim_7_[CN]
CN,,,,5699.9,0.0,RE_WIND_Onshore_Lim_8_[CN]
CN,,,,5699.9,0.0,RE_WIND_Onshore_Lim_9_[CN]
CN,,,,5699.9,0.0,RE_WIND_Offshore_Lim_0_[CN]
CN,,,,5699.9,0.0,RE_WIND_Offshore_Lim_1_[CN]
CN,,,,5699.9,0.0,RE_WIND_Offshore_Lim_2_[CN]
CN,,,,5699.9,0.0,RE_WIND_Offshore_Lim_3_[CN]
