Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,location_name
0,100.0,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,SGP
1,2.550594623,G$/GWp,262800,h,WINDOUT,24,0,0.045525606,GWp,IDN
2,2.547021187,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,MYS
3,2.546930602,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,BRN
4,2.123046006,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,KHM
5,1.4220115542043656,G$/GWp,219000,h,WINDOUT,24,0,0.0,GWp,MMR
6,2.487279383,G$/GWp,262800,h,WINDOUT,24,0,0.105405798,GWp,PHL
7,2.44707066,G$/GWp,262800,h,WINDOUT,24,0,0.26948837,GWp,THA
8,2.520725711,G$/GWp,262800,h,WINDOUT,24,0,0.85030303,GWp,VNM
9,2.561111629,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,LAO
10,1.278948361467605,G$/GWp,219000,h,WINDOUT,24,0,0.679271778,GWp,AUS
11,1.42201155420464,G$/GWp,219000,h,WINDOUT,24,0,0.000225211,GWp,SAU
12,1.112548261,G$/GWp,219000,h,WINDOUT,24,0,6.753086992,GWp,IND
13,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,ARE
14,1.468929644,G$/GWp,219000,h,WINDOUT,24,0,0.539121074,GWp,MAR
15,1.412306848,G$/GWp,219000,h,WINDOUT,24,0,0.254428412,GWp,KEN
16,1.480256869,G$/GWp,219000,h,WINDOUT,24,0,0.527343847,GWp,ZAF
17,1.534097811,G$/GWp,262800,h,WINDOUT,24,0,0.232726534,GWp,KOR
18,1.328822723,G$/GWp,219000,h,WINDOUT,24,0,0.532271104,GWp,EGY
19,1.412306848,G$/GWp,219000,h,WINDOUT,24,0,0.000634834,GWp,NGA
20,1.054285569,G$/GWp,262800,h,WINDOUT,24,0,6.257119411,GWp,BRA
21,1.415276988,G$/GWp,262800,h,WINDOUT,24,0,0.004028859,GWp,COL
22,1.415276988,G$/GWp,262800,h,WINDOUT,24,0,0.158148649,GWp,PER
23,1.239928337,G$/GWp,262800,h,WINDOUT,24,0,0.938607143,GWp,CHL
24,1.4771052692306814,G$/GWp,219000,h,WINDOUT,24,0,1.411570806,GWp,FRA
25,1.471846359380038,G$/GWp,219000,h,WINDOUT,24,0,46.53310587,GWp,DEU
26,1.1911935723800582,G$/GWp,219000,h,WINDOUT,24,0,9.959373393,GWp,USA
27,1.39570831312117,G$/GWp,219000,h,WINDOUT,24,0,0.001979373,GWp,RUS
28,1.0968399999999998,G$/GWp,219000,h,WINDOUT,24,0,25.99360412,GWp,CHN
29,1.4024621505328585,G$/GWp,219000,h,WINDOUT,24,0,1.106599308,GWp,TUR
30,1.280747716352766,G$/GWp,219000,h,WINDOUT,24,0,0.368258014,GWp,JPN
