Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,location_name
0,1.917519263,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,SGP
1,1.888463865,G$/GWp,262800,h,WINDOUT,24,0,0.045525606,GWp,IDN
2,1.973104235,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,MYS
3,2.043401531,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,BRN
4,1.472384838,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,KHM
5,1.4220115542044565,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,MMR
6,1.333169238,G$/GWp,262800,h,WINDOUT,24,0,0.105405798,GWp,PHL
7,1.443805064,G$/GWp,262800,h,WINDOUT,24,0,0.26948837,GWp,THA
8,1.3543845490000002,G$/GWp,262800,h,WINDOUT,24,0,0.85030303,GWp,VNM
9,1.431605136,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,LAO
10,1.2789483614677628,G$/GWp,262800,h,WINDOUT,24,0,0.679271778,GWp,AUS
11,1.4220115542043454,G$/GWp,262800,h,WINDOUT,24,0,0.000225211,GWp,SAU
12,1.1125482613438165,G$/GWp,262800,h,WINDOUT,24,0,6.753086992,GWp,IND
13,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000.0,GWp,ARE
14,1.468810919,G$/GWp,219000,h,WINDOUT,24,0,0.539121074,GWp,MAR
15,1.4123068479999998,G$/GWp,219000,h,WINDOUT,24,0,0.254428412,GWp,KEN
16,1.480256869,G$/GWp,219000,h,WINDOUT,24,0,0.527343847,GWp,ZAF
17,1.534097811,G$/GWp,262800,h,WINDOUT,24,0,0.232726534,GWp,KOR
18,1.328819901,G$/GWp,219000,h,WINDOUT,24,0,0.532271104,GWp,EGY
19,1.4123068479999998,G$/GWp,219000,h,WINDOUT,24,0,0.000634834,GWp,NGA
20,1.054285569,G$/GWp,262800,h,WINDOUT,24,0,6.257119411,GWp,BRA
21,1.415276988,G$/GWp,262800,h,WINDOUT,24,0,0.004028859,GWp,COL
22,1.415276988,G$/GWp,262800,h,WINDOUT,24,0,0.158148649,GWp,PER
23,1.200680675,G$/GWp,262800,h,WINDOUT,24,0,0.938607143,GWp,CHL
24,1.4771024614954025,G$/GWp,219000,h,PVOUT,24,0,1.411570806,GWp,FRA
25,1.4718463593800415,G$/GWp,219000,h,PVOUT,24,0,46.53310587,GWp,DEU
26,1.1911831888077764,G$/GWp,219000,h,PVOUT,24,0,9.959373393,GWp,USA
27,1.3952831660340432,G$/GWp,219000,h,PVOUT,24,0,0.001979373,GWp,RUS
28,1.0375716855100758,G$/GWp,219000,h,PVOUT,24,0,25.99360412,GWp,CHN
29,1.4024621505328465,G$/GWp,219000,h,PVOUT,24,0,1.106599308,GWp,TUR
30,1.280747716352765,G$/GWp,219000,h,PVOUT,24,0,0.368258014,GWp,JPN
