country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
TR,,,,136.3,1.9,120.9,RE_PV_Openfield_Lim_[TR]
TR,,,,136.3,0.0,0.0,RE_PV_Rooftop_Lim_[TR]
TR,,,,136.3,0.9,15.2,RE_WIND_Onshore_Lim_0_[TR]
TR,,,,136.3,0.0,0.0,RE_WIND_Onshore_Lim_1_[TR]
TR,,,,136.3,0.0,0.0,RE_WIND_Onshore_Lim_2_[TR]
TR,,,,136.3,0.0,0.0,RE_WIND_Onshore_Lim_3_[TR]
TR,,,,136.3,0.0,0.0,RE_WIND_Onshore_Lim_4_[TR]
TR,,,,136.3,0.0,0.0,RE_WIND_Onshore_Lim_5_[TR]
TR,,,,136.3,0.0,0.0,RE_WIND_Onshore_Lim_6_[TR]
TR,,,,136.3,0.0,0.0,RE_WIND_Onshore_Lim_7_[TR]
TR,,,,136.3,0.0,0.0,RE_WIND_Onshore_Lim_8_[TR]
TR,,,,136.3,0.0,0.0,RE_WIND_Onshore_Lim_9_[TR]
TR,,,,136.3,0.0,0.0,RE_WIND_Offshore_Lim_0_[TR]
TR,,,,136.3,0.0,0.0,RE_WIND_Offshore_Lim_1_[TR]
TR,,,,136.3,0.0,0.0,RE_WIND_Offshore_Lim_2_[TR]
TR,,,,136.3,0.0,0.0,RE_WIND_Offshore_Lim_3_[TR]
TR,,,,136.3,0.0,0.0,RE_WIND_Offshore_Lim_4_[TR]
TR,,,,136.3,0.0,0.0,RE_WIND_Offshore_Lim_5_[TR]
TR,,,,136.3,0.0,0.0,RE_WIND_Offshore_Lim_6_[TR]
TR,,,,136.3,0.0,0.0,RE_WIND_Offshore_Lim_7_[TR]
TR,,,,136.3,0.0,0.0,RE_WIND_Offshore_Lim_8_[TR]
TR,,,,136.3,0.0,0.0,RE_WIND_Offshore_Lim_9_[TR]
TR,,,,136.3,0.8,22.8,HYDRO_[TR]
TR,,,,136.3,2.1,61.4,PP_CO2_[TR]
TR,,,,136.3,0.0,2.6,BESS_[TR]
TR,,,,136.3,0.0,2.6,EL_to_HTH_[TR]
TR,,,,136.3,0.0,0.0,EL_to_NH3_[TR]
TR,,,,136.3,0.0,0.0,NH3_Storage_[TR]
TR,,,,136.3,0.0,0.0,NH3_to_EL_[TR]
TR,,,,136.3,0.0,0.0,NH3_to_HTH_[TR]
TR,,,,136.3,0.0,2.4,FF_to_HTH_[TR]
TR,,,,136.3,0.0,102.6,EL_Demand_[TR]
TR,,,,136.3,0.0,2.7,HTH_Demand_[TR]
TR,,,,218.0,0.6,34.6,RE_PV_Openfield_Lim_[TR]
TR,,,,218.0,0.0,0.0,RE_PV_Rooftop_Lim_[TR]
TR,,,,218.0,0.0,0.0,RE_WIND_Onshore_Lim_0_[TR]
TR,,,,218.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[TR]
TR,,,,218.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[TR]
TR,,,,218.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[TR]
TR,,,,218.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[TR]
TR,,,,218.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[TR]
TR,,,,218.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[TR]
TR,,,,218.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[TR]
TR,,,,218.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[TR]
TR,,,,218.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[TR]
TR,,,,218.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[TR]
TR,,,,218.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[TR]
TR,,,,218.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[TR]
TR,,,,218.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[TR]
TR,,,,218.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[TR]
TR,,,,218.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[TR]
TR,,,,218.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[TR]
TR,,,,218.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[TR]
TR,,,,218.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[TR]
TR,,,,218.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[TR]
TR,,,,218.0,0.8,22.8,HYDRO_[TR]
TR,,,,218.0,2.8,70.6,PP_CO2_[TR]
TR,,,,218.0,0.0,0.0,BESS_[TR]
TR,,,,218.0,0.0,2.6,EL_to_HTH_[TR]
TR,,,,218.0,0.0,0.0,EL_to_NH3_[TR]
TR,,,,218.0,0.0,0.5,NH3_Storage_[TR]
TR,,,,218.0,0.0,0.0,NH3_to_EL_[TR]
TR,,,,218.0,0.0,0.4,NH3_to_HTH_[TR]
TR,,,,218.0,0.0,0.4,FF_to_HTH_[TR]
TR,,,,218.0,0.0,102.6,EL_Demand_[TR]
TR,,,,218.0,0.0,2.7,HTH_Demand_[TR]
TR,,,,0.0,1.4,85.1,RE_PV_Openfield_Lim_[TR]
TR,,,,0.0,0.8,51.2,RE_PV_Rooftop_Lim_[TR]
TR,,,,0.0,8.4,139.0,RE_WIND_Onshore_Lim_0_[TR]
TR,,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[TR]
TR,,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[TR]
TR,,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[TR]
TR,,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[TR]
TR,,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[TR]
TR,,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[TR]
TR,,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[TR]
TR,,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[TR]
TR,,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[TR]
TR,,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[TR]
TR,,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[TR]
TR,,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[TR]
TR,,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[TR]
TR,,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[TR]
TR,,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[TR]
TR,,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[TR]
TR,,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[TR]
TR,,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[TR]
TR,,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[TR]
TR,,,,0.0,0.5,22.8,HYDRO_[TR]
TR,,,,0.0,0.0,0.0,PP_CO2_[TR]
TR,,,,0.0,2.7,148.3,BESS_[TR]
