Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,Period,Transport_Time
0,CO2_Budget,25,25,0,720,1,0
1,RE_PV_Openfield_Lim,25,25,0,720,1,0
2,RE_PV_Rooftop_Lim,25,25,0,720,1,0
3,RE_WIND_Onshore_Lim_0,25,25,0,720,1,0
4,RE_WIND_Onshore_Lim_1,25,25,0,720,1,0
5,RE_WIND_Onshore_Lim_2,25,25,0,720,1,0
6,RE_WIND_Onshore_Lim_3,25,25,0,720,1,0
7,RE_WIND_Onshore_Lim_4,25,25,0,720,1,0
8,RE_WIND_Onshore_Lim_5,25,25,0,720,1,0
9,RE_WIND_Onshore_Lim_6,25,25,0,720,1,0
10,RE_WIND_Onshore_Lim_7,25,25,0,720,1,0
11,RE_WIND_Onshore_Lim_8,25,25,0,720,1,0
12,RE_WIND_Onshore_Lim_9,25,25,0,720,1,0
13,RE_WIND_Offshore_Lim_0,25,25,0,720,1,0
14,RE_WIND_Offshore_Lim_1,25,25,0,720,1,0
15,RE_WIND_Offshore_Lim_2,25,25,0,720,1,0
16,RE_WIND_Offshore_Lim_3,25,25,0,720,1,0
17,RE_WIND_Offshore_Lim_4,25,25,0,720,1,0
18,RE_WIND_Offshore_Lim_5,25,25,0,720,1,0
19,RE_WIND_Offshore_Lim_6,25,25,0,720,1,0
20,RE_WIND_Offshore_Lim_7,25,25,0,720,1,0
21,RE_WIND_Offshore_Lim_8,25,25,0,720,1,0
22,RE_WIND_Offshore_Lim_9,25,25,0,720,1,0
23,HYDRO,25,25,0,720,1,0
24,PP_CO2,25,25,0,720,1,0
25,BESS,25,25,0,720,1,0
26,EL_to_HTH,25,25,0,720,1,0
27,EL_to_NH3,25,25,0,720,1,0
28,NH3_Storage,25,25,0,720,1,0
29,NH3_to_EL,25,25,0,720,1,0
30,NH3_to_HTH,25,25,0,720,1,0
31,FF_to_HTH,25,25,0,720,1,0
32,EL_Demand,25,25,0,720,1,0
33,HTH_Demand,25,25,0,720,1,0
34,RE_PV_Openfield_Lim,14,14,0,720,1,0
35,RE_PV_Rooftop_Lim,14,14,0,720,1,0
36,RE_WIND_Onshore_Lim,14,14,0,720,1,0
37,RE_WIND_Offshore_Lim,14,14,0,720,1,0
38,PP_CO2,14,14,0,720,1,0
39,BESS,14,14,0,720,1,0
40,EL_to_HTH,14,14,0,720,1,0
41,EL_to_NH3,14,14,0,720,1,0
42,NH3_Storage,14,14,0,720,1,0
43,NH3_to_EL,14,14,0,720,1,0
44,NH3_to_HTH,14,14,0,720,1,0
45,FF_to_HTH,14,14,0,720,1,0
46,EL_Demand,14,14,0,720,1,0
47,HTH_Demand,14,14,0,720,1,0
48,EL_Transport,25,14,0,720,1,0
49,NH3_Transport,25,14,0,720,96,108
