Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,1,1,1140
1,RE_PV_Openfield_Lim,1,1,1
2,RE_PV_Rooftop_Lim,1,1,1
3,RE_WIND_Onshore_Lim_0,1,1,1
4,RE_WIND_Onshore_Lim_1,1,1,1
5,RE_WIND_Onshore_Lim_2,1,1,1
6,RE_WIND_Onshore_Lim_3,1,1,1
7,RE_WIND_Onshore_Lim_4,1,1,1
8,RE_WIND_Onshore_Lim_5,1,1,1
9,RE_WIND_Onshore_Lim_6,1,1,1
10,RE_WIND_Onshore_Lim_7,1,1,1
11,RE_WIND_Onshore_Lim_8,1,1,1
12,RE_WIND_Onshore_Lim_9,1,1,1
13,RE_WIND_Offshore_Lim_0,1,1,1
14,RE_WIND_Offshore_Lim_1,1,1,1
15,RE_WIND_Offshore_Lim_2,1,1,1
16,RE_WIND_Offshore_Lim_3,1,1,1
17,RE_WIND_Offshore_Lim_4,1,1,1
18,RE_WIND_Offshore_Lim_5,1,1,1
19,RE_WIND_Offshore_Lim_6,1,1,1
20,RE_WIND_Offshore_Lim_7,1,1,1
21,RE_WIND_Offshore_Lim_8,1,1,1
22,RE_WIND_Offshore_Lim_9,1,1,1
23,HYDRO,1,1,1
24,PP_CO2,1,1,1
25,BESS,1,1,1
26,EL_to_HTH,1,1,1
27,EL_to_NH3,1,1,1
28,NH3_Storage,1,1,1
29,NH3_to_EL,1,1,1
30,NH3_to_HTH,1,1,1
31,FF_to_HTH,1,1,1
32,EL_Demand,1,1,1
33,HTH_Demand,1,1,1
34,RE_PV_Openfield_Lim,4,4,4
35,RE_PV_Rooftop_Lim,4,4,4
36,RE_WIND_Onshore_Lim_0,4,4,4
37,RE_WIND_Onshore_Lim_1,4,4,4
38,RE_WIND_Onshore_Lim_2,4,4,4
39,RE_WIND_Onshore_Lim_3,4,4,4
40,RE_WIND_Onshore_Lim_4,4,4,4
41,RE_WIND_Onshore_Lim_5,4,4,4
42,RE_WIND_Onshore_Lim_6,4,4,4
43,RE_WIND_Onshore_Lim_7,4,4,4
44,RE_WIND_Onshore_Lim_8,4,4,4
45,RE_WIND_Onshore_Lim_9,4,4,4
46,RE_WIND_Offshore_Lim_0,4,4,4
47,RE_WIND_Offshore_Lim_1,4,4,4
48,RE_WIND_Offshore_Lim_2,4,4,4
49,RE_WIND_Offshore_Lim_3,4,4,4
50,RE_WIND_Offshore_Lim_4,4,4,4
51,RE_WIND_Offshore_Lim_5,4,4,4
52,RE_WIND_Offshore_Lim_6,4,4,4
53,RE_WIND_Offshore_Lim_7,4,4,4
54,RE_WIND_Offshore_Lim_8,4,4,4
55,RE_WIND_Offshore_Lim_9,4,4,4
56,HYDRO,4,4,4
57,PP_CO2,4,4,4
58,BESS,4,4,4
59,EL_to_HTH,4,4,4
60,EL_to_NH3,4,4,4
61,NH3_Storage,4,4,4
62,NH3_to_EL,4,4,4
63,NH3_to_HTH,4,4,4
64,FF_to_HTH,4,4,4
65,EL_Demand,4,4,4
66,HTH_Demand,4,4,4
67,RE_PV_Openfield_Lim,9,9,9
68,RE_PV_Rooftop_Lim,9,9,9
69,RE_WIND_Onshore_Lim_0,9,9,9
70,RE_WIND_Onshore_Lim_1,9,9,9
71,RE_WIND_Onshore_Lim_2,9,9,9
72,RE_WIND_Onshore_Lim_3,9,9,9
73,RE_WIND_Onshore_Lim_4,9,9,9
74,RE_WIND_Onshore_Lim_5,9,9,9
75,RE_WIND_Onshore_Lim_6,9,9,9
76,RE_WIND_Onshore_Lim_7,9,9,9
77,RE_WIND_Onshore_Lim_8,9,9,9
78,RE_WIND_Onshore_Lim_9,9,9,9
79,RE_WIND_Offshore_Lim_0,9,9,9
80,RE_WIND_Offshore_Lim_1,9,9,9
81,RE_WIND_Offshore_Lim_2,9,9,9
82,RE_WIND_Offshore_Lim_3,9,9,9
83,RE_WIND_Offshore_Lim_4,9,9,9
84,RE_WIND_Offshore_Lim_5,9,9,9
85,RE_WIND_Offshore_Lim_6,9,9,9
86,RE_WIND_Offshore_Lim_7,9,9,9
87,RE_WIND_Offshore_Lim_8,9,9,9
88,RE_WIND_Offshore_Lim_9,9,9,9
89,HYDRO,9,9,9
90,PP_CO2,9,9,9
91,BESS,9,9,9
92,EL_to_HTH,9,9,9
93,EL_to_NH3,9,9,9
94,NH3_Storage,9,9,9
95,NH3_to_EL,9,9,9
96,NH3_to_HTH,9,9,9
97,FF_to_HTH,9,9,9
98,EL_Demand,9,9,9
99,HTH_Demand,9,9,9
100,EL_Transport,1,4,0
101,NH3_Transport,1,4,0
102,EL_Transport,1,9,0
103,NH3_Transport,1,9,0
104,EL_Transport,4,9,0
105,NH3_Transport,4,9,0
