Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,20,20,576
1,RE_PV_Openfield_Lim,20,20,20
2,RE_PV_Rooftop_Lim,20,20,20
3,RE_WIND_Onshore_Lim,20,20,20
4,RE_WIND_Offshore_Lim,20,20,20
5,PP_CO2,20,20,20
6,BESS,20,20,20
7,EL_to_HTH,20,20,20
8,EL_to_NH3,20,20,20
9,NH3_Storage,20,20,20
10,NH3_to_EL,20,20,20
11,NH3_to_HTH,20,20,20
12,FF_to_HTH,20,20,20
13,EL_Demand,20,20,20
14,HTH_Demand,20,20,20
1,RE_PV_Openfield_Lim,23,23,23
2,RE_PV_Rooftop_Lim,23,23,23
3,RE_WIND_Onshore_Lim,23,23,23
4,RE_WIND_Offshore_Lim,23,23,23
5,PP_CO2,23,23,23
6,BESS,23,23,23
7,EL_to_HTH,23,23,23
8,EL_to_NH3,23,23,23
9,NH3_Storage,23,23,23
10,NH3_to_EL,23,23,23
11,NH3_to_HTH,23,23,23
12,FF_to_HTH,23,23,23
13,EL_Demand,23,23,23
14,HTH_Demand,23,23,23
15,EL_Transport,20,23,0
16,NH3_Transport,20,23,0
