country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,TH,LA,,76.7,3.0,RE_PV_Openfield_Lim_[KR]
KR,TH,LA,,76.7,0.0,RE_PV_Rooftop_Lim_[KR]
KR,TH,LA,,76.7,8.4,RE_WIND_Onshore_Lim_0_[KR]
KR,TH,LA,,76.7,0.0,RE_WIND_Onshore_Lim_1_[KR]
KR,TH,LA,,76.7,0.0,RE_WIND_Onshore_Lim_2_[KR]
KR,TH,LA,,76.7,0.0,RE_WIND_Onshore_Lim_3_[KR]
KR,TH,LA,,76.7,0.0,RE_WIND_Onshore_Lim_4_[KR]
KR,TH,LA,,76.7,0.0,RE_WIND_Onshore_Lim_5_[KR]
KR,TH,LA,,76.7,0.0,RE_WIND_Onshore_Lim_6_[KR]
KR,TH,LA,,76.7,0.0,RE_WIND_Onshore_Lim_7_[KR]
KR,TH,LA,,76.7,0.0,RE_WIND_Onshore_Lim_8_[KR]
KR,TH,LA,,76.7,0.0,RE_WIND_Onshore_Lim_9_[KR]
KR,TH,LA,,76.7,0.0,RE_WIND_Offshore_Lim_0_[KR]
KR,TH,LA,,76.7,0.0,RE_WIND_Offshore_Lim_1_[KR]
KR,TH,LA,,76.7,0.0,RE_WIND_Offshore_Lim_2_[KR]
KR,TH,LA,,76.7,0.0,RE_WIND_Offshore_Lim_3_[KR]
KR,TH,LA,,76.7,0.0,RE_WIND_Offshore_Lim_4_[KR]
KR,TH,LA,,76.7,0.0,RE_WIND_Offshore_Lim_5_[KR]
KR,TH,LA,,76.7,0.0,RE_WIND_Offshore_Lim_6_[KR]
KR,TH,LA,,76.7,0.0,RE_WIND_Offshore_Lim_7_[KR]
KR,TH,LA,,76.7,0.0,RE_WIND_Offshore_Lim_8_[KR]
KR,TH,LA,,76.7,0.0,RE_WIND_Offshore_Lim_9_[KR]
KR,TH,LA,,76.7,0.1,HYDRO_[KR]
KR,TH,LA,,76.7,4.3,PP_CO2_[KR]
KR,TH,LA,,76.7,1.4,BESS_[KR]
KR,TH,LA,,76.7,0.3,EL_to_HTH_[KR]
KR,TH,LA,,76.7,0.0,EL_to_NH3_[KR]
KR,TH,LA,,76.7,0.0,NH3_Storage_[KR]
