country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
SA,RU,,,0.0,0.0,0.0,RE_PV_Openfield_Lim_[RU]
SA,RU,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[RU]
SA,RU,,,0.0,14.8,250.1,RE_WIND_Onshore_Lim_0_[RU]
SA,RU,,,0.0,8.9,148.1,RE_WIND_Onshore_Lim_1_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[RU]
SA,RU,,,0.0,0.6,51.3,HYDRO_[RU]
