Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,18,18,789
1,RE_PV_Openfield_Lim,18,18,18
2,RE_PV_Rooftop_Lim,18,18,18
3,RE_WIND_Onshore_Lim,18,18,18
4,RE_WIND_Offshore_Lim,18,18,18
5,PP_CO2,18,18,18
6,BESS,18,18,18
7,EL_to_HTH,18,18,18
8,EL_to_NH3,18,18,18
9,NH3_Storage,18,18,18
10,NH3_to_EL,18,18,18
11,NH3_to_HTH,18,18,18
12,FF_to_HTH,18,18,18
13,EL_Demand,18,18,18
14,HTH_Demand,18,18,18
1,RE_PV_Openfield_Lim,15,15,15
2,RE_PV_Rooftop_Lim,15,15,15
3,RE_WIND_Onshore_Lim,15,15,15
4,RE_WIND_Offshore_Lim,15,15,15
5,PP_CO2,15,15,15
6,BESS,15,15,15
7,EL_to_HTH,15,15,15
8,EL_to_NH3,15,15,15
9,NH3_Storage,15,15,15
10,NH3_to_EL,15,15,15
11,NH3_to_HTH,15,15,15
12,FF_to_HTH,15,15,15
13,EL_Demand,15,15,15
14,HTH_Demand,15,15,15
1,RE_PV_Openfield_Lim,16,16,16
2,RE_PV_Rooftop_Lim,16,16,16
3,RE_WIND_Onshore_Lim,16,16,16
4,RE_WIND_Offshore_Lim,16,16,16
5,PP_CO2,16,16,16
6,BESS,16,16,16
7,EL_to_HTH,16,16,16
8,EL_to_NH3,16,16,16
9,NH3_Storage,16,16,16
10,NH3_to_EL,16,16,16
11,NH3_to_HTH,16,16,16
12,FF_to_HTH,16,16,16
13,EL_Demand,16,16,16
14,HTH_Demand,16,16,16
15,EL_Transport,18,15,0
16,NH3_Transport,18,15,0
17,EL_Transport,18,16,0
18,NH3_Transport,18,16,0
19,EL_Transport,15,16,0
20,NH3_Transport,15,16,0
