Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,30,30,1823
1,RE_PV_Openfield_Lim,30,30,30
2,RE_PV_Rooftop_Lim,30,30,30
3,RE_WIND_Onshore_Lim_0,30,30,30
4,RE_WIND_Onshore_Lim_1,30,30,30
5,RE_WIND_Onshore_Lim_2,30,30,30
6,RE_WIND_Onshore_Lim_3,30,30,30
7,RE_WIND_Onshore_Lim_4,30,30,30
8,RE_WIND_Onshore_Lim_5,30,30,30
9,RE_WIND_Onshore_Lim_6,30,30,30
10,RE_WIND_Onshore_Lim_7,30,30,30
11,RE_WIND_Onshore_Lim_8,30,30,30
12,RE_WIND_Onshore_Lim_9,30,30,30
13,RE_WIND_Offshore_Lim_0,30,30,30
14,RE_WIND_Offshore_Lim_1,30,30,30
15,RE_WIND_Offshore_Lim_2,30,30,30
16,RE_WIND_Offshore_Lim_3,30,30,30
17,RE_WIND_Offshore_Lim_4,30,30,30
18,RE_WIND_Offshore_Lim_5,30,30,30
19,RE_WIND_Offshore_Lim_6,30,30,30
20,RE_WIND_Offshore_Lim_7,30,30,30
21,RE_WIND_Offshore_Lim_8,30,30,30
22,RE_WIND_Offshore_Lim_9,30,30,30
23,HYDRO,30,30,30
24,PP_CO2,30,30,30
25,BESS,30,30,30
26,EL_to_HTH,30,30,30
27,EL_to_NH3,30,30,30
28,NH3_Storage,30,30,30
29,NH3_to_EL,30,30,30
30,NH3_to_HTH,30,30,30
31,FF_to_HTH,30,30,30
32,EL_Demand,30,30,30
33,HTH_Demand,30,30,30
34,RE_PV_Openfield_Lim,17,17,17
35,RE_PV_Rooftop_Lim,17,17,17
36,RE_WIND_Onshore_Lim_0,17,17,17
37,RE_WIND_Onshore_Lim_1,17,17,17
38,RE_WIND_Onshore_Lim_2,17,17,17
39,RE_WIND_Onshore_Lim_3,17,17,17
40,RE_WIND_Onshore_Lim_4,17,17,17
41,RE_WIND_Onshore_Lim_5,17,17,17
42,RE_WIND_Onshore_Lim_6,17,17,17
43,RE_WIND_Onshore_Lim_7,17,17,17
44,RE_WIND_Onshore_Lim_8,17,17,17
45,RE_WIND_Onshore_Lim_9,17,17,17
46,RE_WIND_Offshore_Lim_0,17,17,17
47,RE_WIND_Offshore_Lim_1,17,17,17
48,RE_WIND_Offshore_Lim_2,17,17,17
49,RE_WIND_Offshore_Lim_3,17,17,17
50,RE_WIND_Offshore_Lim_4,17,17,17
51,RE_WIND_Offshore_Lim_5,17,17,17
52,RE_WIND_Offshore_Lim_6,17,17,17
53,RE_WIND_Offshore_Lim_7,17,17,17
54,RE_WIND_Offshore_Lim_8,17,17,17
55,RE_WIND_Offshore_Lim_9,17,17,17
56,HYDRO,17,17,17
57,PP_CO2,17,17,17
58,BESS,17,17,17
59,EL_to_HTH,17,17,17
60,EL_to_NH3,17,17,17
61,NH3_Storage,17,17,17
62,NH3_to_EL,17,17,17
63,NH3_to_HTH,17,17,17
64,FF_to_HTH,17,17,17
65,EL_Demand,17,17,17
66,HTH_Demand,17,17,17
67,EL_Transport,30,17,0
68,NH3_Transport,30,17,0
