country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
EG,NG,,,0.0,2.6,109.8,RE_PV_Openfield_Lim_[EG]
EG,NG,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[EG]
EG,NG,,,0.0,6.9,120.0,RE_WIND_Onshore_Lim_0_[EG]
EG,NG,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[EG]
EG,NG,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[EG]
EG,NG,,,0.0,1.9,33.6,RE_WIND_Onshore_Lim_3_[EG]
EG,NG,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[EG]
EG,NG,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[EG]
EG,NG,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[EG]
EG,NG,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[EG]
EG,NG,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[EG]
EG,NG,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[EG]
EG,NG,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[EG]
EG,NG,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[EG]
EG,NG,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[EG]
EG,NG,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[EG]
EG,NG,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[EG]
EG,NG,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[EG]
EG,NG,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[EG]
EG,NG,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[EG]
EG,NG,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[EG]
EG,NG,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[EG]
EG,NG,,,0.0,0.0,2.8,HYDRO_[EG]
EG,NG,,,0.0,0.0,0.0,PP_CO2_[EG]
EG,NG,,,0.0,0.7,36.2,BESS_[EG]
EG,NG,,,0.0,0.5,40.4,EL_to_HTH_[EG]
EG,NG,,,0.0,0.6,10.8,EL_to_NH3_[EG]
EG,NG,,,0.0,2.1,125.3,NH3_Storage_[EG]
EG,NG,,,0.0,0.4,4.9,NH3_to_EL_[EG]
EG,NG,,,0.0,0.1,7.9,NH3_to_HTH_[EG]
EG,NG,,,0.0,0.0,0.0,FF_to_HTH_[EG]
EG,NG,,,0.0,0.0,76.9,EL_Demand_[EG]
EG,NG,,,0.0,0.0,41.1,HTH_Demand_[EG]
EG,NG,,,0.0,6.4,267.3,RE_PV_Openfield_Lim_[NG]
EG,NG,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[NG]
EG,NG,,,0.0,17.7,291.0,RE_WIND_Onshore_Lim_0_[NG]
EG,NG,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[NG]
EG,NG,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[NG]
EG,NG,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[NG]
EG,NG,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[NG]
EG,NG,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[NG]
EG,NG,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[NG]
EG,NG,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[NG]
