country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
ID,KH,,,131.7,0.0,0.0,RE_WIND_Offshore_Lim_1_[KH]
ID,KH,,,131.7,0.0,0.0,RE_WIND_Offshore_Lim_2_[KH]
ID,KH,,,131.7,0.0,0.0,RE_WIND_Offshore_Lim_3_[KH]
ID,KH,,,131.7,0.0,0.0,RE_WIND_Offshore_Lim_4_[KH]
ID,KH,,,131.7,0.0,0.0,RE_WIND_Offshore_Lim_5_[KH]
ID,KH,,,131.7,0.0,0.0,RE_WIND_Offshore_Lim_6_[KH]
ID,KH,,,131.7,0.0,0.0,RE_WIND_Offshore_Lim_7_[KH]
ID,KH,,,131.7,0.0,0.0,RE_WIND_Offshore_Lim_8_[KH]
ID,KH,,,131.7,0.0,0.0,RE_WIND_Offshore_Lim_9_[KH]
ID,KH,,,131.7,0.0,1.3,HYDRO_[KH]
ID,KH,,,131.7,0.0,0.0,PP_CO2_[KH]
ID,KH,,,131.7,0.0,0.0,BESS_[KH]
ID,KH,,,131.7,0.1,11.0,EL_to_HTH_[KH]
ID,KH,,,131.7,0.0,0.0,EL_to_NH3_[KH]
ID,KH,,,131.7,0.0,0.0,NH3_Storage_[KH]
ID,KH,,,131.7,0.0,0.0,NH3_to_EL_[KH]
ID,KH,,,131.7,0.0,0.0,NH3_to_HTH_[KH]
ID,KH,,,131.7,0.5,8.2,FF_to_HTH_[KH]
ID,KH,,,131.7,0.0,2.8,EL_Demand_[KH]
ID,KH,,,131.7,0.0,11.5,HTH_Demand_[KH]
ID,KH,,,131.7,0.5,7.5,EL_Transport_[ID-KH]
ID,KH,,,131.7,0.0,0.0,NH3_Transport_[ID-KH]
ID,KH,,,127.3,1.3,70.3,RE_PV_Openfield_Lim_[ID]
ID,KH,,,127.3,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,KH,,,127.3,17.1,378.2,RE_WIND_Onshore_Lim_0_[ID]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Onshore_Lim_1_[ID]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Onshore_Lim_2_[ID]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Onshore_Lim_3_[ID]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Onshore_Lim_4_[ID]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Onshore_Lim_5_[ID]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Onshore_Lim_6_[ID]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Onshore_Lim_7_[ID]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Onshore_Lim_8_[ID]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Onshore_Lim_9_[ID]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Offshore_Lim_0_[ID]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Offshore_Lim_1_[ID]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Offshore_Lim_2_[ID]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Offshore_Lim_3_[ID]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Offshore_Lim_4_[ID]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Offshore_Lim_5_[ID]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Offshore_Lim_6_[ID]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Offshore_Lim_7_[ID]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Offshore_Lim_8_[ID]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Offshore_Lim_9_[ID]
ID,KH,,,127.3,0.1,4.6,HYDRO_[ID]
ID,KH,,,127.3,4.8,66.2,PP_CO2_[ID]
ID,KH,,,127.3,0.1,7.2,BESS_[ID]
ID,KH,,,127.3,1.3,115.6,EL_to_HTH_[ID]
ID,KH,,,127.3,0.0,0.0,EL_to_NH3_[ID]
ID,KH,,,127.3,0.0,0.0,NH3_Storage_[ID]
ID,KH,,,127.3,0.0,0.0,NH3_to_EL_[ID]
ID,KH,,,127.3,0.0,0.0,NH3_to_HTH_[ID]
ID,KH,,,127.3,9.0,114.6,FF_to_HTH_[ID]
ID,KH,,,127.3,0.0,138.0,EL_Demand_[ID]
ID,KH,,,127.3,0.0,117.7,HTH_Demand_[ID]
ID,KH,,,127.3,0.0,1.5,RE_PV_Openfield_Lim_[KH]
ID,KH,,,127.3,0.0,0.0,RE_PV_Rooftop_Lim_[KH]
ID,KH,,,127.3,1.0,24.5,RE_WIND_Onshore_Lim_0_[KH]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Onshore_Lim_1_[KH]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Onshore_Lim_2_[KH]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Onshore_Lim_3_[KH]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Onshore_Lim_4_[KH]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Onshore_Lim_5_[KH]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Onshore_Lim_6_[KH]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Onshore_Lim_7_[KH]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Onshore_Lim_8_[KH]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Onshore_Lim_9_[KH]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Offshore_Lim_0_[KH]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Offshore_Lim_1_[KH]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Offshore_Lim_2_[KH]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Offshore_Lim_3_[KH]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Offshore_Lim_4_[KH]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Offshore_Lim_5_[KH]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Offshore_Lim_6_[KH]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Offshore_Lim_7_[KH]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Offshore_Lim_8_[KH]
ID,KH,,,127.3,0.0,0.0,RE_WIND_Offshore_Lim_9_[KH]
ID,KH,,,127.3,0.0,1.3,HYDRO_[KH]
ID,KH,,,127.3,0.0,0.0,PP_CO2_[KH]
ID,KH,,,127.3,0.0,0.0,BESS_[KH]
ID,KH,,,127.3,0.1,11.1,EL_to_HTH_[KH]
ID,KH,,,127.3,0.0,0.0,EL_to_NH3_[KH]
ID,KH,,,127.3,0.0,0.0,NH3_Storage_[KH]
ID,KH,,,127.3,0.0,0.0,NH3_to_EL_[KH]
ID,KH,,,127.3,0.0,0.0,NH3_to_HTH_[KH]
ID,KH,,,127.3,0.6,8.9,FF_to_HTH_[KH]
ID,KH,,,127.3,0.0,2.8,EL_Demand_[KH]
ID,KH,,,127.3,0.0,11.5,HTH_Demand_[KH]
ID,KH,,,127.3,0.6,8.8,EL_Transport_[ID-KH]
ID,KH,,,127.3,0.0,0.0,NH3_Transport_[ID-KH]
