country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
US,,,,1573.3,0.0,0.0,RE_WIND_Onshore_Lim_9_[US]
US,,,,1573.3,0.0,0.0,RE_WIND_Offshore_Lim_0_[US]
US,,,,1573.3,0.0,0.0,RE_WIND_Offshore_Lim_1_[US]
US,,,,1573.3,0.0,0.0,RE_WIND_Offshore_Lim_2_[US]
US,,,,1573.3,0.0,0.0,RE_WIND_Offshore_Lim_3_[US]
US,,,,1573.3,0.0,0.0,RE_WIND_Offshore_Lim_4_[US]
US,,,,1573.3,0.0,0.0,RE_WIND_Offshore_Lim_5_[US]
US,,,,1573.3,0.0,0.0,RE_WIND_Offshore_Lim_6_[US]
US,,,,1573.3,0.0,0.0,RE_WIND_Offshore_Lim_7_[US]
US,,,,1573.3,0.0,0.0,RE_WIND_Offshore_Lim_8_[US]
US,,,,1573.3,0.0,0.0,RE_WIND_Offshore_Lim_9_[US]
US,,,,1573.3,0.2,86.6,HYDRO_[US]
US,,,,1573.3,45.9,707.3,PP_CO2_[US]
US,,,,1573.3,1.5,84.8,BESS_[US]
US,,,,1573.3,0.0,2.6,EL_to_HTH_[US]
US,,,,1573.3,0.0,0.0,EL_to_NH3_[US]
US,,,,1573.3,0.0,0.1,NH3_Storage_[US]
US,,,,1573.3,0.0,0.0,NH3_to_EL_[US]
US,,,,1573.3,0.0,0.0,NH3_to_HTH_[US]
US,,,,1573.3,0.0,2.4,FF_to_HTH_[US]
US,,,,1573.3,0.0,1008.3,EL_Demand_[US]
US,,,,1573.3,0.0,2.6,HTH_Demand_[US]
US,,,,1346.7,8.4,297.7,RE_PV_Openfield_Lim_[US]
US,,,,1346.7,0.0,0.0,RE_PV_Rooftop_Lim_[US]
US,,,,1346.7,21.3,413.4,RE_WIND_Onshore_Lim_0_[US]
US,,,,1346.7,0.0,0.0,RE_WIND_Onshore_Lim_1_[US]
US,,,,1346.7,0.0,0.0,RE_WIND_Onshore_Lim_2_[US]
US,,,,1346.7,0.0,0.0,RE_WIND_Onshore_Lim_3_[US]
US,,,,1346.7,0.0,0.0,RE_WIND_Onshore_Lim_4_[US]
US,,,,1346.7,0.0,0.0,RE_WIND_Onshore_Lim_5_[US]
US,,,,1346.7,0.0,0.0,RE_WIND_Onshore_Lim_6_[US]
US,,,,1346.7,0.0,0.0,RE_WIND_Onshore_Lim_7_[US]
US,,,,1346.7,0.0,0.0,RE_WIND_Onshore_Lim_8_[US]
US,,,,1346.7,0.0,0.0,RE_WIND_Onshore_Lim_9_[US]
US,,,,1346.7,0.0,0.0,RE_WIND_Offshore_Lim_0_[US]
US,,,,1346.7,0.0,0.0,RE_WIND_Offshore_Lim_1_[US]
US,,,,1346.7,0.0,0.0,RE_WIND_Offshore_Lim_2_[US]
US,,,,1346.7,0.0,0.0,RE_WIND_Offshore_Lim_3_[US]
US,,,,1346.7,0.0,0.0,RE_WIND_Offshore_Lim_4_[US]
US,,,,1346.7,0.0,0.0,RE_WIND_Offshore_Lim_5_[US]
US,,,,1346.7,0.0,0.0,RE_WIND_Offshore_Lim_6_[US]
US,,,,1346.7,0.0,0.0,RE_WIND_Offshore_Lim_7_[US]
US,,,,1346.7,0.0,0.0,RE_WIND_Offshore_Lim_8_[US]
US,,,,1346.7,0.0,0.0,RE_WIND_Offshore_Lim_9_[US]
US,,,,1346.7,0.2,86.6,HYDRO_[US]
US,,,,1346.7,41.7,666.1,PP_CO2_[US]
US,,,,1346.7,1.9,105.0,BESS_[US]
US,,,,1346.7,0.0,2.6,EL_to_HTH_[US]
US,,,,1346.7,0.0,0.0,EL_to_NH3_[US]
US,,,,1346.7,0.0,0.1,NH3_Storage_[US]
US,,,,1346.7,0.0,0.0,NH3_to_EL_[US]
US,,,,1346.7,0.0,0.0,NH3_to_HTH_[US]
US,,,,1346.7,0.0,2.4,FF_to_HTH_[US]
US,,,,1346.7,0.0,1008.3,EL_Demand_[US]
US,,,,1346.7,0.0,2.6,HTH_Demand_[US]
