Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,location_name
0,100.0,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,SGP
1,2.543964423,G$/GWp,262800,h,WINDOUT,24,0,0.045525606,GWp,IDN
2,2.547564697,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,MYS
3,2.546930602,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,BRN
4,1.925377151,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,KHM
5,1.422011554204505,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,MMR
6,2.1295351460000003,G$/GWp,262800,h,WINDOUT,24,0,0.105405798,GWp,PHL
7,1.988208333,G$/GWp,262800,h,WINDOUT,24,0,0.26948837,GWp,THA
8,1.962556949,G$/GWp,262800,h,WINDOUT,24,0,0.85030303,GWp,VNM
9,2.552438558,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,LAO
10,1.2789483614675363,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,AUS
11,1.422011554204304,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,SAU
12,1.1125482613437565,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,IND
13,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000.0,GWp,ARE
14,1.468929644,G$/GWp,219000,h,WINDOUT,24,0,0.539121074,GWp,MAR
15,1.4123068479999998,G$/GWp,219000,h,WINDOUT,24,0,0.254428412,GWp,KEN
16,1.480256869,G$/GWp,219000,h,WINDOUT,24,0,0.527343847,GWp,ZAF
17,1.534097811,G$/GWp,262800,h,WINDOUT,24,0,0.232726534,GWp,KOR
18,1.328822723,G$/GWp,219000,h,WINDOUT,24,0,0.532271104,GWp,EGY
19,1.4123068479999998,G$/GWp,219000,h,WINDOUT,24,0,0.000634834,GWp,NGA
20,1.054285569,G$/GWp,262800,h,WINDOUT,24,0,6.257119411,GWp,BRA
21,1.415276988,G$/GWp,262800,h,WINDOUT,24,0,0.004028859,GWp,COL
22,1.415276988,G$/GWp,262800,h,WINDOUT,24,0,0.158148649,GWp,PER
23,1.239928337,G$/GWp,262800,h,WINDOUT,24,0,0.938607143,GWp,CHL
24,1.4771052692306783,G$/GWp,219000,h,PVOUT,24,0,0.0,GWp,FRA
25,1.4718463593800415,G$/GWp,219000,h,PVOUT,24,0,0.0,GWp,DEU
26,1.1911935723802138,G$/GWp,219000,h,PVOUT,24,0,0.0,GWp,USA
27,1.3957083131212291,G$/GWp,219000,h,PVOUT,24,0,0.0,GWp,RUS
28,1.089035519162262,G$/GWp,219000,h,PVOUT,24,0,0.0,GWp,CHN
29,1.4024621505329316,G$/GWp,219000,h,PVOUT,24,0,0.0,GWp,TUR
30,1.2807477163527567,G$/GWp,219000,h,PVOUT,24,0,0.0,GWp,JPN
