Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,Period,Transport_Time
0,CO2_Budget,20,20,0,720,1,0
1,RE_PV_Openfield_Lim,20,20,0,720,1,0
2,RE_PV_Rooftop_Lim,20,20,0,720,1,0
3,RE_WIND_Onshore_Lim_0,20,20,0,720,1,0
4,RE_WIND_Onshore_Lim_1,20,20,0,720,1,0
5,RE_WIND_Onshore_Lim_2,20,20,0,720,1,0
6,RE_WIND_Onshore_Lim_3,20,20,0,720,1,0
7,RE_WIND_Onshore_Lim_4,20,20,0,720,1,0
8,RE_WIND_Onshore_Lim_5,20,20,0,720,1,0
9,RE_WIND_Onshore_Lim_6,20,20,0,720,1,0
10,RE_WIND_Onshore_Lim_7,20,20,0,720,1,0
11,RE_WIND_Onshore_Lim_8,20,20,0,720,1,0
12,RE_WIND_Onshore_Lim_9,20,20,0,720,1,0
13,RE_WIND_Offshore_Lim_0,20,20,0,720,1,0
14,RE_WIND_Offshore_Lim_1,20,20,0,720,1,0
15,RE_WIND_Offshore_Lim_2,20,20,0,720,1,0
16,RE_WIND_Offshore_Lim_3,20,20,0,720,1,0
17,RE_WIND_Offshore_Lim_4,20,20,0,720,1,0
18,RE_WIND_Offshore_Lim_5,20,20,0,720,1,0
19,HYDRO,20,20,0,720,1,0
20,PP_CO2,20,20,0,720,1,0
21,BESS,20,20,0,720,1,0
22,EL_to_HTH,20,20,0,720,1,0
23,EL_to_NH3,20,20,0,720,1,0
24,NH3_Storage,20,20,0,720,1,0
25,NH3_to_EL,20,20,0,720,1,0
26,NH3_to_HTH,20,20,0,720,1,0
27,FF_to_HTH,20,20,0,720,1,0
28,EL_Demand,20,20,0,720,1,0
29,HTH_Demand,20,20,0,720,1,0
30,RE_PV_Openfield_Lim,26,26,0,720,1,0
31,RE_PV_Rooftop_Lim,26,26,0,720,1,0
32,RE_WIND_Onshore_Lim_0,26,26,0,720,1,0
33,RE_WIND_Onshore_Lim_1,26,26,0,720,1,0
34,RE_WIND_Onshore_Lim_2,26,26,0,720,1,0
35,RE_WIND_Onshore_Lim_3,26,26,0,720,1,0
36,RE_WIND_Onshore_Lim_4,26,26,0,720,1,0
37,RE_WIND_Onshore_Lim_5,26,26,0,720,1,0
38,RE_WIND_Onshore_Lim_6,26,26,0,720,1,0
39,RE_WIND_Onshore_Lim_7,26,26,0,720,1,0
40,RE_WIND_Onshore_Lim_8,26,26,0,720,1,0
41,RE_WIND_Onshore_Lim_9,26,26,0,720,1,0
42,RE_WIND_Offshore_Lim_0,26,26,0,720,1,0
43,RE_WIND_Offshore_Lim_1,26,26,0,720,1,0
44,RE_WIND_Offshore_Lim_2,26,26,0,720,1,0
45,RE_WIND_Offshore_Lim_3,26,26,0,720,1,0
46,RE_WIND_Offshore_Lim_4,26,26,0,720,1,0
47,RE_WIND_Offshore_Lim_5,26,26,0,720,1,0
48,RE_WIND_Offshore_Lim_6,26,26,0,720,1,0
49,RE_WIND_Offshore_Lim_7,26,26,0,720,1,0
50,RE_WIND_Offshore_Lim_8,26,26,0,720,1,0
51,RE_WIND_Offshore_Lim_9,26,26,0,720,1,0
52,HYDRO,26,26,0,720,1,0
53,PP_CO2,26,26,0,720,1,0
54,BESS,26,26,0,720,1,0
55,EL_to_HTH,26,26,0,720,1,0
56,EL_to_NH3,26,26,0,720,1,0
57,NH3_Storage,26,26,0,720,1,0
58,NH3_to_EL,26,26,0,720,1,0
59,NH3_to_HTH,26,26,0,720,1,0
60,FF_to_HTH,26,26,0,720,1,0
61,EL_Demand,26,26,0,720,1,0
62,HTH_Demand,26,26,0,720,1,0
63,EL_Transport,20,26,0,720,1,0
64,NH3_Transport,20,26,0,720,96,108
