Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,10,10,1706
1,RE_PV_Openfield_Lim,10,10,10
2,RE_PV_Rooftop_Lim,10,10,10
3,RE_WIND_Onshore_Lim_0,10,10,10
4,RE_WIND_Onshore_Lim_1,10,10,10
5,RE_WIND_Onshore_Lim_2,10,10,10
6,RE_WIND_Onshore_Lim_3,10,10,10
7,RE_WIND_Onshore_Lim_4,10,10,10
8,RE_WIND_Onshore_Lim_5,10,10,10
9,RE_WIND_Onshore_Lim_6,10,10,10
10,RE_WIND_Onshore_Lim_7,10,10,10
11,RE_WIND_Onshore_Lim_8,10,10,10
12,RE_WIND_Onshore_Lim_9,10,10,10
13,RE_WIND_Offshore_Lim_0,10,10,10
14,RE_WIND_Offshore_Lim_1,10,10,10
15,RE_WIND_Offshore_Lim_2,10,10,10
16,RE_WIND_Offshore_Lim_3,10,10,10
17,RE_WIND_Offshore_Lim_4,10,10,10
18,RE_WIND_Offshore_Lim_5,10,10,10
19,RE_WIND_Offshore_Lim_6,10,10,10
20,RE_WIND_Offshore_Lim_7,10,10,10
21,RE_WIND_Offshore_Lim_8,10,10,10
22,RE_WIND_Offshore_Lim_9,10,10,10
23,HYDRO,10,10,10
24,PP_CO2,10,10,10
25,BESS,10,10,10
26,EL_to_HTH,10,10,10
27,EL_to_NH3,10,10,10
28,NH3_Storage,10,10,10
29,NH3_to_EL,10,10,10
30,NH3_to_HTH,10,10,10
31,FF_to_HTH,10,10,10
32,EL_Demand,10,10,10
33,HTH_Demand,10,10,10
34,RE_PV_Rooftop_Lim,1,1,1
35,RE_PV_Openfield_Lim,1,1,1
36,RE_WIND_Offshore_Lim,1,1,1
37,RE_WIND_Onshore_Lim,1,1,1
38,PP_CO2,1,1,1
39,BESS,1,1,1
40,EL_to_HTH,1,1,1
41,EL_to_NH3,1,1,1
42,NH3_Storage,1,1,1
43,NH3_to_EL,1,1,1
44,NH3_to_HTH,1,1,1
45,FF_to_HTH,1,1,1
46,EL_Demand,1,1,1
47,HTH_Demand,1,1,1
48,RE_PV_Openfield_Lim,5,5,5
49,RE_PV_Rooftop_Lim,5,5,5
50,RE_WIND_Onshore_Lim_0,5,5,5
51,RE_WIND_Onshore_Lim_1,5,5,5
52,RE_WIND_Onshore_Lim_2,5,5,5
53,RE_WIND_Onshore_Lim_3,5,5,5
54,RE_WIND_Onshore_Lim_4,5,5,5
55,RE_WIND_Onshore_Lim_5,5,5,5
56,RE_WIND_Onshore_Lim_6,5,5,5
57,RE_WIND_Onshore_Lim_7,5,5,5
58,RE_WIND_Onshore_Lim_8,5,5,5
59,RE_WIND_Onshore_Lim_9,5,5,5
60,RE_WIND_Offshore_Lim_0,5,5,5
61,RE_WIND_Offshore_Lim_1,5,5,5
62,RE_WIND_Offshore_Lim_2,5,5,5
63,RE_WIND_Offshore_Lim_3,5,5,5
64,RE_WIND_Offshore_Lim_4,5,5,5
65,RE_WIND_Offshore_Lim_5,5,5,5
66,RE_WIND_Offshore_Lim_6,5,5,5
67,RE_WIND_Offshore_Lim_7,5,5,5
68,RE_WIND_Offshore_Lim_8,5,5,5
69,RE_WIND_Offshore_Lim_9,5,5,5
70,HYDRO,5,5,5
71,PP_CO2,5,5,5
72,BESS,5,5,5
73,EL_to_HTH,5,5,5
74,EL_to_NH3,5,5,5
75,NH3_Storage,5,5,5
76,NH3_to_EL,5,5,5
77,NH3_to_HTH,5,5,5
78,FF_to_HTH,5,5,5
79,EL_Demand,5,5,5
80,HTH_Demand,5,5,5
81,EL_Transport,10,1,0
82,NH3_Transport,10,1,0
83,EL_Transport,10,5,0
84,NH3_Transport,10,5,0
85,EL_Transport,1,5,0
86,NH3_Transport,1,5,0
