Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,15,15,569
1,RE_PV_Openfield_Lim,15,15,15
2,RE_PV_Rooftop_Lim,15,15,15
3,RE_WIND_Onshore_Lim,15,15,15
4,RE_WIND_Offshore_Lim,15,15,15
5,PP_CO2,15,15,15
6,BESS,15,15,15
7,EL_to_HTH,15,15,15
8,EL_to_NH3,15,15,15
9,NH3_Storage,15,15,15
10,NH3_to_EL,15,15,15
11,NH3_to_HTH,15,15,15
12,FF_to_HTH,15,15,15
13,EL_Demand,15,15,15
14,HTH_Demand,15,15,15
1,RE_PV_Openfield_Lim,19,19,19
2,RE_PV_Rooftop_Lim,19,19,19
3,RE_WIND_Onshore_Lim,19,19,19
4,RE_WIND_Offshore_Lim,19,19,19
5,PP_CO2,19,19,19
6,BESS,19,19,19
7,EL_to_HTH,19,19,19
8,EL_to_NH3,19,19,19
9,NH3_Storage,19,19,19
10,NH3_to_EL,19,19,19
11,NH3_to_HTH,19,19,19
12,FF_to_HTH,19,19,19
13,EL_Demand,19,19,19
14,HTH_Demand,19,19,19
15,EL_Transport,15,19,0
16,NH3_Transport,15,19,0
