Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,1,1,1090
1,RE_PV_Openfield_Lim,1,1,1
2,RE_PV_Rooftop_Lim,1,1,1
3,RE_WIND_Onshore_Lim_0,1,1,1
4,RE_WIND_Onshore_Lim_1,1,1,1
5,RE_WIND_Onshore_Lim_2,1,1,1
6,RE_WIND_Onshore_Lim_3,1,1,1
7,RE_WIND_Onshore_Lim_4,1,1,1
8,RE_WIND_Onshore_Lim_5,1,1,1
9,RE_WIND_Onshore_Lim_6,1,1,1
10,RE_WIND_Onshore_Lim_7,1,1,1
11,RE_WIND_Onshore_Lim_8,1,1,1
12,RE_WIND_Onshore_Lim_9,1,1,1
13,RE_WIND_Offshore_Lim_0,1,1,1
14,RE_WIND_Offshore_Lim_1,1,1,1
15,RE_WIND_Offshore_Lim_2,1,1,1
16,RE_WIND_Offshore_Lim_3,1,1,1
17,RE_WIND_Offshore_Lim_4,1,1,1
18,RE_WIND_Offshore_Lim_5,1,1,1
19,RE_WIND_Offshore_Lim_6,1,1,1
20,RE_WIND_Offshore_Lim_7,1,1,1
21,RE_WIND_Offshore_Lim_8,1,1,1
22,RE_WIND_Offshore_Lim_9,1,1,1
23,HYDRO,1,1,1
24,PP_CO2,1,1,1
25,BESS,1,1,1
26,EL_to_HTH,1,1,1
27,EL_to_NH3,1,1,1
28,NH3_Storage,1,1,1
29,NH3_to_EL,1,1,1
30,NH3_to_HTH,1,1,1
31,FF_to_HTH,1,1,1
32,EL_Demand,1,1,1
33,HTH_Demand,1,1,1
34,RE_PV_Openfield_Lim,4,4,4
35,RE_PV_Rooftop_Lim,4,4,4
36,RE_WIND_Onshore_Lim_0,4,4,4
37,RE_WIND_Onshore_Lim_1,4,4,4
38,RE_WIND_Onshore_Lim_2,4,4,4
39,RE_WIND_Onshore_Lim_3,4,4,4
40,RE_WIND_Onshore_Lim_4,4,4,4
41,RE_WIND_Onshore_Lim_5,4,4,4
42,RE_WIND_Onshore_Lim_6,4,4,4
43,RE_WIND_Onshore_Lim_7,4,4,4
44,RE_WIND_Onshore_Lim_8,4,4,4
45,RE_WIND_Onshore_Lim_9,4,4,4
46,RE_WIND_Offshore_Lim_0,4,4,4
47,RE_WIND_Offshore_Lim_1,4,4,4
48,RE_WIND_Offshore_Lim_2,4,4,4
49,RE_WIND_Offshore_Lim_3,4,4,4
50,RE_WIND_Offshore_Lim_4,4,4,4
51,RE_WIND_Offshore_Lim_5,4,4,4
52,RE_WIND_Offshore_Lim_6,4,4,4
53,RE_WIND_Offshore_Lim_7,4,4,4
54,RE_WIND_Offshore_Lim_8,4,4,4
55,RE_WIND_Offshore_Lim_9,4,4,4
56,HYDRO,4,4,4
57,PP_CO2,4,4,4
58,BESS,4,4,4
59,EL_to_HTH,4,4,4
60,EL_to_NH3,4,4,4
61,NH3_Storage,4,4,4
62,NH3_to_EL,4,4,4
63,NH3_to_HTH,4,4,4
64,FF_to_HTH,4,4,4
65,EL_Demand,4,4,4
66,HTH_Demand,4,4,4
67,RE_PV_Openfield_Lim,0,0,0
68,RE_PV_Rooftop_Lim,0,0,0
69,RE_WIND_Onshore_Lim_0,0,0,0
70,RE_WIND_Onshore_Lim_1,0,0,0
71,RE_WIND_Onshore_Lim_2,0,0,0
72,RE_WIND_Onshore_Lim_3,0,0,0
73,RE_WIND_Onshore_Lim_4,0,0,0
74,RE_WIND_Onshore_Lim_5,0,0,0
75,RE_WIND_Onshore_Lim_6,0,0,0
76,RE_WIND_Onshore_Lim_7,0,0,0
77,RE_WIND_Onshore_Lim_8,0,0,0
78,RE_WIND_Onshore_Lim_9,0,0,0
79,RE_WIND_Offshore_Lim_0,0,0,0
80,RE_WIND_Offshore_Lim_1,0,0,0
81,RE_WIND_Offshore_Lim_2,0,0,0
82,RE_WIND_Offshore_Lim_3,0,0,0
83,RE_WIND_Offshore_Lim_4,0,0,0
84,RE_WIND_Offshore_Lim_5,0,0,0
85,RE_WIND_Offshore_Lim_6,0,0,0
86,RE_WIND_Offshore_Lim_7,0,0,0
87,RE_WIND_Offshore_Lim_8,0,0,0
88,RE_WIND_Offshore_Lim_9,0,0,0
89,HYDRO,0,0,0
90,PP_CO2,0,0,0
91,BESS,0,0,0
92,EL_to_HTH,0,0,0
93,EL_to_NH3,0,0,0
94,NH3_Storage,0,0,0
95,NH3_to_EL,0,0,0
96,NH3_to_HTH,0,0,0
97,FF_to_HTH,0,0,0
98,EL_Demand,0,0,0
99,HTH_Demand,0,0,0
100,RE_PV_Openfield_Lim,8,8,8
101,RE_PV_Rooftop_Lim,8,8,8
102,RE_WIND_Onshore_Lim_0,8,8,8
103,RE_WIND_Onshore_Lim_1,8,8,8
104,RE_WIND_Onshore_Lim_2,8,8,8
105,RE_WIND_Onshore_Lim_3,8,8,8
106,RE_WIND_Onshore_Lim_4,8,8,8
107,RE_WIND_Onshore_Lim_5,8,8,8
108,RE_WIND_Onshore_Lim_6,8,8,8
109,RE_WIND_Onshore_Lim_7,8,8,8
110,RE_WIND_Onshore_Lim_8,8,8,8
111,RE_WIND_Onshore_Lim_9,8,8,8
112,RE_WIND_Offshore_Lim_0,8,8,8
113,RE_WIND_Offshore_Lim_1,8,8,8
114,RE_WIND_Offshore_Lim_2,8,8,8
115,RE_WIND_Offshore_Lim_3,8,8,8
116,RE_WIND_Offshore_Lim_4,8,8,8
117,RE_WIND_Offshore_Lim_5,8,8,8
118,RE_WIND_Offshore_Lim_6,8,8,8
119,RE_WIND_Offshore_Lim_7,8,8,8
120,RE_WIND_Offshore_Lim_8,8,8,8
121,RE_WIND_Offshore_Lim_9,8,8,8
122,HYDRO,8,8,8
123,PP_CO2,8,8,8
124,BESS,8,8,8
125,EL_to_HTH,8,8,8
126,EL_to_NH3,8,8,8
127,NH3_Storage,8,8,8
128,NH3_to_EL,8,8,8
129,NH3_to_HTH,8,8,8
130,FF_to_HTH,8,8,8
